Date,PX_OPEN,PX_HIGH,PX_LOW,PX_CLOSE_1D,PX_VOLUME,OPEN_INT,INSTRUMENT,SECTYPE,EXCHANGE,CRNCY,TICK_SIZE,TICK_VALUE,POINT_VALUE,CONTRACT_VALUE,near,far,st_dev,no_days
05/09/2013,123.0938,123.1563,122.2656,122.4063,1372113,2048141,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,122406,123.5313,122.4063,0.953286818,7482
06/09/2013,122.2969,123.6406,122.2188,122.9375,1715575,2051048,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,122938,124.0781,122.9375,1.003489326,7483
09/09/2013,122.9844,123.5,122.875,123.3594,822326,2043548,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,123359,124.4844,123.3594,0.965155068,7484
10/09/2013,123.1875,123.2344,122.7813,122.9375,1033500,2052002,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,122938,124.1563,122.9375,0.952539103,7485
11/09/2013,122.8438,123.4688,122.7969,123.3906,1271479,2063422,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,123391,124.5313,123.3906,0.942942417,7486
12/09/2013,123.3906,123.8281,123.3281,123.4219,1108657,2046594,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,123422,124.5625,123.4219,0.908275325,7487
13/09/2013,123.375,123.6875,122.9375,123.5469,993840,2041846,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,123547,124.6719,123.5469,0.895930061,7488
16/09/2013,124.2031,124.7813,123.9375,123.9688,1385764,1960069,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,123969,125.0625,123.9688,0.89114901,7489
17/09/2013,124.0313,124.3594,123.9844,124.1406,852762,1932435,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,124141,125.2188,124.1406,0.843033566,7490
18/09/2013,124.1563,125.9063,123.7344,125.5781,1795124,1955832,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,125578,126.5781,125.5781,0.822574609,7491
19/09/2013,125.6875,125.9688,125.1406,125.2031,1437341,1934055,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,125203,126.125,125.2031,0.907158142,7492
20/09/2013,125.6875,125.9688,124.2656,124.4375,1437341,1926922,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,124438,125.2969,124.4375,0.929388094,7493
23/09/2013,125.6875,125.9688,124.2656,124.5938,1437341,1934852,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,124594,125.4531,124.5938,0.900262866,7494
24/09/2013,125.6875,125.9688,124.2656,124.9375,1437341,1927662,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,124938,125.9375,124.9375,0.80711104,7495
25/09/2013,125.6875,124.8594,124.7656,124.9688,1437341,1930059,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,124969,126.2813,124.9688,0.84203172,7496
26/09/2013,126.1406,126.25,125.9219,126.0938,928675,1954984,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,126094,126.0938,124.75,0.870265541,7497
27/09/2013,126.0156,126.4844,125.9063,126.3438,869080,1961546,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,126344,126.3438,125,0.996545065,7498
30/09/2013,126.5469,126.6719,126.0938,126.3906,1098252,1955430,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,126391,126.3906,125.0781,1.127425059,7499
01/10/2013,126.4219,126.4375,126,126.125,1096668,1951172,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,126125,126.125,124.7813,1.227288204,7500
02/10/2013,126.0156,126.6563,125.9531,126.3906,1109162,1953380,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,126391,126.3906,125.0469,1.258047939,7501
03/10/2013,126.4375,126.8594,126.1563,126.5781,1107023,1948926,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,126578,126.5781,125.2344,1.228027845,7502
04/10/2013,126.5938,126.6406,126.125,126.1875,750416,1948354,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,126188,126.1875,124.8594,1.226397972,7503
07/10/2013,126.2813,126.5625,126.2656,126.2969,615195,1946897,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,126297,126.2969,124.9688,1.205143363,7504
08/10/2013,126.3281,126.5,126.0938,126.2656,841292,1970410,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,126266,126.2656,124.9375,1.127775869,7505
09/10/2013,126.2656,126.5,126.0469,126.2656,1015011,1968238,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,126266,126.2656,124.9688,1.064130471,7506
10/10/2013,126.1563,126.1875,125.6719,125.9844,1310681,1988064,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,125984,125.9844,124.6563,0.975593194,7507
11/10/2013,126.0156,126.4063,125.9375,126.1094,866391,2026886,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,126109,126.1094,124.7813,0.859182379,7508
14/10/2013,126.3438,126.3594,125.6719,125.9219,190176,2022424,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,125922,125.9219,124.5938,0.7661636,7509
15/10/2013,125.7656,126.0781,125.6563,125.8594,899938,2078562,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,125859,125.8594,124.5156,0.662732988,7510
16/10/2013,125.7813,126.3125,125.5156,126.2656,1164710,2100870,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,126266,126.2656,124.9219,0.660051265,7511
17/10/2013,126.2969,127,126.2344,126.9531,1189868,2139551,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,126953,126.9531,125.6875,0.648024566,7512
18/10/2013,126.8906,127.3594,126.8125,126.8906,990417,2145793,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,126891,126.8906,125.5938,0.587754161,7513
21/10/2013,126.8906,126.9688,126.6406,126.75,597937,2133933,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,126750,126.75,125.4375,0.507052292,7514
22/10/2013,126.7656,127.5156,126.7188,127.5,1186695,2183692,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,127500,127.5,126.25,0.431337486,7515
23/10/2013,127.4688,127.7969,127.4688,127.6563,870293,2211582,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,127656,127.6563,126.4219,0.40564599,7516
24/10/2013,127.5469,127.7656,127.375,127.4063,844838,2221410,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,127406,127.4063,126.1563,0.493756767,7517
25/10/2013,127.4063,127.6719,127.3438,127.6094,609105,2173889,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,127609,127.6094,126.375,0.538078622,7518
28/10/2013,127.5625,127.6563,127.375,127.5625,498134,2136261,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,127563,127.5625,126.3281,0.592266894,7519
29/10/2013,127.5156,127.75,127.4375,127.7188,763596,2149369,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,127719,127.7188,126.4844,0.622013532,7520
30/10/2013,127.6875,128.0625,127.2969,127.5156,1249334,2174984,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,127516,127.5156,126.25,0.663826596,7521
31/10/2013,127.4688,127.7656,127.0781,127.3594,1469826,2185107,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,127359,127.3594,126.0938,0.686721779,7522
01/11/2013,127.2344,127.2813,126.6875,126.7813,1110369,2214087,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,126781,126.7813,125.5,0.68367473,7523
04/11/2013,126.6875,127.0625,126.6719,126.9844,543146,2226266,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,126984,126.9844,125.7188,0.671361277,7524
05/11/2013,126.9375,127.0469,126.3906,126.5625,1134295,2254115,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,126563,126.5625,125.2813,0.655971488,7525
06/11/2013,126.5469,127.0313,126.5,126.9219,1030712,2255732,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,126922,126.9219,125.6406,0.643444103,7526
07/11/2013,126.9063,127.4219,126.8594,127.1406,1270096,2200405,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,127141,127.1406,125.8594,0.602750936,7527
08/11/2013,127.1875,127.7031,125.9531,126.1094,1609004,2245961,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,126109,126.1094,124.7656,0.566818108,7528
11/11/2013,126.0781,126.2656,126,126.0313,162444,2246809,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,126031,126.0313,124.6875,0.547976625,7529
12/11/2013,126.0156,126.0938,125.7188,125.9063,889123,2256890,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,125906,125.9063,124.5625,0.528675879,7530
13/11/2013,125.8906,126.7656,125.8594,126.3594,920571,2238390,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,126359,126.3594,125.0156,0.563136181,7531
14/11/2013,126.6719,126.9688,126.4219,126.8438,1350405,2261665,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,126844,126.8438,125.5,0.583109433,7532
15/11/2013,126.8906,126.9688,126.5781,126.7656,715898,2239125,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,126766,126.7656,125.4219,0.58364092,7533
18/11/2013,126.7031,127.1563,126.6563,127.0469,739043,2259900,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,127047,127.0469,125.7188,0.583302508,7534
19/11/2013,127.0938,127.1719,126.7031,126.7344,916513,2278136,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,126734,126.7344,125.4063,0.570238664,7535
20/11/2013,126.7344,127.0781,126.2188,126.3594,1612710,2274676,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,126359,126.3594,125.0156,0.546629835,7536
