Date,PX_OPEN,PX_HIGH,PX_LOW,PX_CLOSE_1D,PX_VOLUME,OPEN_INT,INSTRUMENT,SECTYPE,EXCHANGE,CRNCY,TICK_SIZE,TICK_VALUE,POINT_VALUE,CONTRACT_VALUE,st_dev,no_days
12/02/2014,130.41,130.56,130.08,130.25,48718,302903,CN1 Comdty,Future,MSE,CAD,0.01,10,1000,130250,1.263798111520225,4982
13/02/2014,130.52,130.8,130.46,130.53,47111,300387,CN1 Comdty,Future,MSE,CAD,0.01,10,1000,130530,1.1312151283828147,4983
14/02/2014,130.58,130.62,130.23,130.53,26153,287890,CN1 Comdty,Future,MSE,CAD,0.01,10,1000,130530,1.0951646756000601,4984
17/02/2014,130.58,130.62,130.23,130.46,26153,287890,CN1 Comdty,Future,MSE,CAD,0.01,10,1000,130460,1.0524693186417449,4985
18/02/2014,130.63,130.75,130.36,130.66,38646,288098,CN1 Comdty,Future,MSE,CAD,0.01,10,1000,130660,0.9791923542809453,4986
19/02/2014,130.83,131.08,130.62,130.68,51252,287378,CN1 Comdty,Future,MSE,CAD,0.01,10,1000,130680,0.8867214895420304,4987
20/02/2014,130.76,130.87,130.46,130.72,45027,288172,CN1 Comdty,Future,MSE,CAD,0.01,10,1000,130720,0.8189572638518288,4988
21/02/2014,130.74,130.97,130.39,130.94,87664,310103,CN1 Comdty,Future,MSE,CAD,0.01,10,1000,130940,0.7683015900992568,4989
24/02/2014,131.02,131.02,130.68,130.91,225428,239249,CN1 Comdty,Future,MSE,CAD,0.01,10,1000,130910,0.7186879248666134,4990
25/02/2014,129.64,129.99,129.55,129.94,81407,265003,CN1 Comdty,Future,MSE,CAD,0.01,10,1000,129940,0.6347380037063326,4991
26/02/2014,129.8,130.4,129.76,130.29,55988,284244,CN1 Comdty,Future,MSE,CAD,0.01,10,1000,130290,0.5315678069156615,4992
27/02/2014,130.52,130.73,130.48,130.68,40653,285138,CN1 Comdty,Future,MSE,CAD,0.01,10,1000,130680,0.5009800395383164,4993
28/02/2014,130.51,130.67,130.17,130.6,45135,289180,CN1 Comdty,Future,MSE,CAD,0.01,10,1000,130600,0.4975965568099763,4994
