Date,AD1_small_alpha_forecast,AD1_small_one_perc_change,AD1_small_block_value,AD1_small_price_volatility,AD1_small_cash_vol_daily,AD1_small_std_dev,AD1_small_icv,AD1_small_ivv,AD1_small_vol_scalar,AD1_small_alpha_subsystem_position,AD1_small_alpha_trades_needed,AD1_small_alpha_target_pos,AD1_small_execution_price,AD1_small_daily_instrument_pnls,AD1_small_daily_current_pnls,AD1_small_alpha_current_pos,RX1_small_alpha_forecast,RX1_small_one_perc_change,RX1_small_block_value,RX1_small_price_volatility,RX1_small_cash_vol_daily,RX1_small_std_dev,RX1_small_icv,RX1_small_ivv,RX1_small_vol_scalar,RX1_small_alpha_subsystem_position,RX1_small_alpha_trades_needed,RX1_small_alpha_target_pos,RX1_small_execution_price,RX1_small_daily_instrument_pnls,RX1_small_daily_current_pnls,RX1_small_alpha_current_pos,AUM,NAV
2018-03-22,2.909488377184314,0.6585,658.5,0.62,36212.85937499979,0.4092192769818499,408.27,264.76309499999996,138.25286195948038,40.22450949835756,5.0,29.0,66.5085,-3292.500000000018,-2160.000000000082,24.0,-9.262187019260894,1.5896000000000001,1589.6000000000001,0.6,36212.85937499979,0.946603049,953.76,1078.511808,33.93959653801008,-31.43548904933089,-2.0,-23.0,157.37040000000002,-3179.1999999999803,-22680.000000000262,-21.0,2897028.749999983,2897028.749999983
2018-03-23,2.964544815352214,0.6531,653.1,0.62,35804.679374999796,0.4081683680217607,404.922,262.591917,137.9054610237671,40.88269194867655,0.0,29.0,65.31,0.0,-15659.999999999769,29.0,-4.770799197783456,1.5887,1588.7,0.6,35804.679374999796,0.951980392,953.22,1077.901176,33.595713764208554,-16.027840427524875,12.0,-11.0,160.4587,-19064.399999999863,2070.000000000078,-23.0,2864374.3499999833,2864374.3499999833
2018-03-26,1.159014636663785,0.6554000000000001,655.4000000000001,0.62,35712.47312499979,0.4054459478815211,406.34800000000007,263.516678,135.87253621571458,15.747825819464339,-18.0,11.0,64.8846,-11797.200000000004,6670.0000000001155,29.0,-4.073317968284465,1.5893000000000002,1589.3000000000002,0.6,35712.47312499979,0.960973812,953.58,1078.308264,33.20449315873906,-13.525245861127042,1.0,-10.0,160.51930000000002,-1589.3000000000086,-660.000000000025,-11.0,2856997.8499999833,2856997.8499999833
2018-03-27,1.0107530099996742,0.65485,654.85,0.62,35639.3212499998,0.406289408328857,406.007,263.29553949999996,135.6364532145817,13.709495335231844,-1.0,10.0,64.83015,-654.8499999999962,-605.000000000075,11.0,-3.661887731256046,1.5922999999999998,1592.2999999999997,0.61,35639.3212499998,0.978757716,971.3029999999998,1098.3494323999998,32.514673446832475,-11.906508378075257,1.0,-9.0,160.82229999999998,-1592.2999999999945,-2999.9999999998295,-10.0,2851145.6999999834,2851145.6999999834
2018-03-28,0.6127555506271091,0.65435,654.35,0.62,35531.61249999979,0.407649052478821,405.697,263.09450449999997,135.4620512417423,8.300512379771146,-4.0,6.0,64.78065000000001,-2617.399999999975,-499.9999999999716,10.0,-2.5503826231523186,1.5931,1593.1,0.63,35531.61249999979,0.997647232,1003.6529999999999,1134.9308124,31.40219726225824,-8.008761822646473,3.0,-6.0,160.9031,-4779.299999999977,-720.0000000001125,-9.0,2842528.9999999832,2842528.9999999832
2018-03-29,0.3895969704565603,0.65435,654.35,0.63,35475.42624999979,0.4096263541166302,412.2405,267.33796424999997,132.90896637027038,5.17809306443702,-2.0,4.0,64.78065000000001,-1308.6999999999875,0.0,6.0,-1.8784390876986368,1.5931,1593.1,0.64,35475.42624999979,1.012649166,1019.584,1152.9455871999999,30.818117432836118,-5.788995639512613,2.0,-4.0,160.9031,-3186.1999999999853,-0.0,-6.0,2838034.0999999833,2838034.0999999833
2018-03-30,0.2052082106240549,0.6533,653.3,0.63,35453.84374999979,0.4138078257519489,411.57899999999995,266.9089815,132.91207381119844,2.727464883712834,-2.0,2.0,64.6767,-1306.600000000003,-420.0000000000159,4.0,-1.876267377841918,1.5931,1593.1,0.63,35453.84374999979,1.005556728,1003.6529999999999,1134.9308124,31.257787578241096,-5.86479671365661,0.0,-4.0,159.31,0.0,-0.0,-4.0,2836307.4999999832,2836307.4999999832
2018-04-02,-0.2363353012163878,0.6497499999999999,649.7499999999999,0.66,35386.552499999794,0.4316013785739056,428.8349999999999,278.0994974999999,127.48618414889368,-3.012948573175667,-4.0,-2.0,64.32525,-2598.9999999999895,-710.000000000008,2.0,-2.053209845769444,1.5943,1594.3,0.63,35386.552499999794,0.999524887,1004.409,1135.7856972,31.21525815776912,-6.4091475387766526,-1.0,-5.0,157.8357,-1594.300000000004,-480.0000000000182,-4.0,2830924.1999999834,2830924.1999999834
2018-04-03,-1.6407653951582624,0.6524500000000001,652.45,0.67,35281.904374999795,0.4367067093449553,437.14150000000006,283.48626275000004,124.82633957895298,-20.481073838542024,-13.0,-15.0,64.59255,-8481.850000000022,-540.0000000000205,-2.0,-2.0475945980128927,1.5930000000000002,1593.0000000000002,0.63,35281.904374999795,1.003153361,1003.5900000000001,1134.8595720000003,31.181437221908354,-6.384694241385768,0.0,-5.0,159.3,0.0,649.9999999999773,-5.0,2822552.3499999833,2822552.3499999833
2018-04-04,-1.5734526526343309,0.65815,658.15,0.64,35144.4706249998,0.4185354425297243,421.216,273.158576,129.1627189292413,-20.32314227206772,0.0,-15.0,65.815,0.0,-8549.999999999898,-15.0,-2.543808879397417,1.5947,1594.7,0.63,35144.4706249998,1.004491248,1004.6610000000001,1136.0706588,31.056082737201482,-7.900073902619397,-1.0,-6.0,157.8753,-1594.699999999989,-849.9999999999375,-5.0,2811557.6499999836,2811557.6499999836
2018-04-05,0.3556851829104597,0.6613500000000001,661.3500000000001,0.62,34942.77812499979,0.4071061491227226,410.0370000000001,265.90899450000006,132.16728787637828,4.700994596308899,18.0,3.0,66.79635,-11904.299999999977,-4800.000000000111,-15.0,-2.3576399462158717,1.5911000000000002,1591.1000000000001,0.62,34942.77812499979,0.978818505,986.4820000000001,1115.5138456000002,31.505185492428094,-7.427788382988924,1.0,-5.0,160.70110000000003,-1591.1000000000115,2159.9999999999113,-6.0,2795422.2499999832,2795422.2499999832
2018-04-06,2.4726682956297785,0.65945,659.4499999999999,0.61,34638.48499999979,0.4044597219174266,402.26449999999994,260.86852824999994,133.9478485941119,33.120859848647825,21.0,24.0,66.60445,-13848.450000000143,-570.0000000000358,3.0,-4.510473126511372,1.595,1595.0,0.6,34638.48499999979,0.963961963,957.0,1082.1756,32.289379029613855,-14.564037638481315,-5.0,-10.0,157.905,-7974.9999999999945,-1949.9999999999318,-5.0,2771078.799999983,2771078.799999983
2018-04-09,3.3378137401088965,0.6618,661.8000000000001,0.6,34608.067499999794,0.3972439426685292,397.08000000000004,257.50638000000004,134.51505551046847,44.89862005343526,8.0,32.0,66.8418,-5294.399999999996,5640.000000000327,24.0,-3.197332821141849,1.5930000000000002,1593.0000000000002,0.6,34608.067499999794,0.950737959,955.8000000000001,1080.8186400000002,32.04837862529812,-10.246933284304657,3.0,-7.0,160.893,-4778.999999999968,1999.9999999998863,-10.0,2768645.399999983,2768645.399999983
2018-04-10,4.557526689382764,0.6634000000000001,663.4000000000001,0.59,34554.669999999795,0.3884191249841892,391.406,253.826791,136.3452114871507,62.13969403222268,12.0,44.0,67.0034,-7960.799999999949,5119.999999999891,32.0,-3.606122199655052,1.5905000000000002,1590.5000000000002,0.55,34554.669999999795,0.8747975,874.7750000000002,989.1955700000002,34.98607206661852,-12.616405115816455,-2.0,-9.0,157.45950000000002,-3180.999999999983,1750.0,-7.0,2764373.5999999833,2764373.5999999833
2018-04-11,5.875011650905191,0.65145,651.4499999999999,0.63,33677.47062499979,0.4090468595652079,410.41349999999994,266.15315474999994,129.8300222383511,76.27528932875927,11.0,55.0,65.79645,-7165.949999999967,-52580.00000000032,44.0,-4.771256179377135,1.595,1595.0,0.51,33677.47062499979,0.81795986,813.45,919.8492600000001,37.56557895149015,-17.923500070417703,-4.0,-13.0,157.905,-6379.999999999995,-4049.9999999998977,-9.0,2694197.649999983,2694197.649999983
