Date,PX_CLOSE_1D,ema_fast,ema_slow,raw_cross,std_dev,vol_adj_crossover,forecast_uncapped,capped_forecast,daily_return,forecast*returns,cumulative_performance,forecast_scalar,turnover,signal_sharpe,net_sharpe,max_payable_cost,standard_cost,status
17/02/2017,164.43,163.60154786400466,164.15073766397984,-0.5491897999751814,0.45043899117354824,-1.2192323727223378,-2.279964536990772,-2.279964536990772,0.00360107421875,-0.0020798800738831766,-0.03191701056922994,1.87,14.766622478981212,-1.0182515154610667,-1.020288018491989,0.00880363808210319,0.002,Good_trade
20/02/2017,164.58,163.63165408357375,164.15407822690605,-0.5224241433323016,0.43948172691867404,-1.1887277930647069,-2.222920973031002,-2.222920973031002,0.0009122422915526229,0.0022961269012961513,-0.029620883667933785,1.87,14.766622478981212,-1.0182515154610667,-1.020288018491989,0.00880363808210319,0.002,Good_trade
21/02/2017,164.41,163.65560318869456,164.1560698360352,-0.5004666473406303,0.42926230216877354,-1.1658760734686207,-2.180188257386321,-2.180188257386321,-0.001032932312553303,-0.007691193901125726,-0.037312077569059514,1.87,14.766622478981212,-1.0182515154610667,-1.020288018491989,0.00880363808210319,0.002,Good_trade
22/02/2017,164.99,163.69666155211934,164.16255956493765,-0.46589801281831456,0.4387363408888929,-1.0619088719078782,-1.9857695904677324,-1.9857695904677324,0.0035277659509762582,-0.007823202823225553,-0.045135280392285065,1.87,14.766622478981212,-1.0182515154610667,-1.020288018491989,0.00880363808210319,0.002,Good_trade
23/02/2017,165.64,163.75645658128488,164.174057155872,-0.4176005745871123,0.45268374464335026,-0.9224996027107657,-1.725074257069132,-1.725074257069132,0.003939632705012297,-0.005936321700854078,-0.05107160209313914,1.87,14.766622478981212,-1.0182515154610667,-1.020288018491989,0.00880363808210319,0.002,Good_trade
24/02/2017,166.21,163.83195022493766,164.18990106905585,-0.3579508441181929,0.4597910819130751,-0.7785075835504451,-1.4558091812393326,-1.4558091812393326,0.003441197778314642,0.001138651065285513,-0.04993295102785363,1.87,14.766622478981212,-1.0182515154610667,-1.020288018491989,0.00880363808210319,0.002,Good_trade
27/02/2017,166.08,163.90112098724728,164.2046100101527,-0.3034890229054099,0.44821189382164495,-0.677110596770946,-1.266196815961669,-1.266196815961669,-0.0007821430720172939,0.00022872052311449177,-0.04970423050473914,1.87,14.766622478981212,-1.0182515154610667,-1.020288018491989,0.00880363808210319,0.002,Good_trade
28/02/2017,166.05,163.96724034148585,164.21897102174685,-0.2517306802610051,0.4359855738287645,-0.577383049742544,-1.0797063030185572,-1.0797063030185572,-0.00018063583815031148,0.007282571872211907,-0.04242165863252723,1.87,14.766622478981212,-1.0182515154610667,-1.020288018491989,0.00880363808210319,0.002,Good_trade
01/03/2017,164.93,163.99686371559397,164.22450432118853,-0.22764060559455856,0.49760832639840824,-0.45746944638602965,-0.8554678647418755,-0.8554678647418755,-0.00674495633845229,0.0016597933469798668,-0.040761865285547365,1.87,14.766622478981212,-1.0182515154610667,-1.020288018491989,0.00880363808210319,0.002,Good_trade
02/03/2017,164.61,164.01572944742185,164.2275042875606,-0.2117748401387587,0.4896576748934405,-0.4324957026045701,-0.8087669638705461,-0.8087669638705461,-0.0019402170617837111,0.019161601112296558,-0.021600264173250807,1.87,14.766622478981212,-1.0182515154610667,-1.020288018491989,0.00880363808210319,0.002,Good_trade
03/03/2017,160.71,163.9140146951935,164.20013071333835,-0.28611601814486676,1.024190680493652,-0.27935815429111405,-0.5223997485243833,-0.5223997485243833,-0.023692363768908375,-0.0005525975810412903,-0.022152861754292097,1.87,14.766622478981212,-1.0182515154610667,-1.020288018491989,0.00880363808210319,0.002,Good_trade
06/03/2017,160.88,163.82066039687984,164.17429312023845,-0.35363272335860074,0.9969091320562141,-0.35472914429944247,-0.6633434998399574,-0.6633434998399574,0.00105780598593741,-0.001731752050800606,-0.023884613805092703,1.87,14.766622478981212,-1.0182515154610667,-1.020288018491989,0.00880363808210319,0.002,Good_trade
07/03/2017,161.3,163.74310161543738,164.15192508039223,-0.40882346495484967,0.9744960390583823,-0.41952296219682933,-0.784507939308071,-0.784507939308071,0.0026106414719047066,0.0038909259234127134,-0.01999368788167999,1.87,14.766622478981212,-1.0182515154610667,-1.020288018491989,0.00880363808210319,0.002,Good_trade
08/03/2017,160.5,163.64331387342395,164.12350542996117,-0.48019155653722123,0.9658701238152207,-0.4971595504377419,-0.9296883593185774,-0.9296883593185774,-0.004959702417855039,0.0029541499268066268,-0.01703953795487336,1.87,14.766622478981212,-1.0182515154610667,-1.020288018491989,0.00880363808210319,0.002,Good_trade
09/03/2017,159.99,163.53090421578014,164.09133807252957,-0.5604338567494267,0.946856511329748,-0.591888897677182,-1.1068322386563305,-1.1068322386563305,-0.003177570093457871,0.006779771197469985,-0.010259766757403376,1.87,14.766622478981212,-1.0182515154610667,-1.020288018491989,0.00880363808210319,0.002,Good_trade
10/03/2017,159.01,163.39179947067922,164.0517945855838,-0.6599951149045751,0.9486776551723729,-0.6957000739989552,-1.3009591383780463,-1.3009591383780463,-0.006125382836427384,-0.0014726913081445135,-0.01173245806554789,1.87,14.766622478981212,-1.0182515154610667,-1.020288018491989,0.00880363808210319,0.002,Good_trade
13/03/2017,159.19,163.26251333311984,164.0139596082641,-0.7514462751442466,0.9236301071640787,-0.8135792340631828,-1.5213931676981518,-1.5213931676981518,0.001132004276460652,-0.0035361233246329333,-0.015268581390180823,1.87,14.766622478981212,-1.0182515154610667,-1.020288018491989,0.00880363808210319,0.002,Good_trade
14/03/2017,159.56,163.14858984594693,163.97929844399746,-0.8307085980505349,0.902429754997771,-0.9205243881310039,-1.7213806058049774,-1.7213806058049774,0.0023242665996607847,-0.005717797199026162,-0.020986378589206985,1.87,14.766622478981212,-1.0182515154610667,-1.020288018491989,0.00880363808210319,0.002,Good_trade
15/03/2017,160.09,163.05447938914855,163.9490315300364,-0.8945521408878392,0.8863084874870234,-1.0093011107500383,-1.8873930771025715,-1.8873930771025715,0.0033216344948607812,0.0043621427854829455,-0.01662423580372404,1.87,14.766622478981212,-1.0182515154610667,-1.020288018491989,0.00880363808210319,0.002,Good_trade
16/03/2017,159.72,162.9518800233286,163.91612077882988,-0.9642407555012653,0.8663030448593225,-1.113052483450346,-2.081408144052147,-2.081408144052147,-0.0023111999500281533,-0.0013031606211195957,-0.017927396424843634,1.87,14.766622478981212,-1.0182515154610667,-1.020288018491989,0.00880363808210319,0.002,Good_trade
17/03/2017,159.82,162.85551448414927,163.88424435253546,-1.0287298683861934,0.842884907561904,-1.2204867582240346,-2.282310237878945,-2.282310237878945,0.0006260956674180029,0.0005712201821745383,-0.017356176242669098,1.87,14.766622478981212,-1.0182515154610667,-1.020288018491989,0.00880363808210319,0.002,Good_trade
20/03/2017,159.78,162.76088326925236,163.85230470776864,-1.091421438516278,0.819840522706429,-1.3312606638585214,-2.489457441415435,-2.489457441415435,-0.00025028156676254465,0.0034277170929491074,-0.01392845914971999,1.87,14.766622478981212,-1.0182515154610667,-1.020288018491989,0.00880363808210319,0.002,Good_trade
21/03/2017,159.56,162.66239455327536,163.81890155829186,-1.1565070050164934,0.7990136976383003,-1.4474182463140002,-2.7066721206071804,-2.7066721206071804,-0.0013768932281887913,-0.010856543978369182,-0.02478500312808917,1.87,14.766622478981212,-1.0182515154610667,-1.020288018491989,0.00880363808210319,0.002,Good_trade
22/03/2017,160.2,162.58662856702074,163.7907389002507,-1.2041103332299485,0.7912357955768184,-1.5218097310071022,-2.8457841969832813,-2.8457841969832813,0.004011030333416876,0.0030198708707060767,-0.021765132257383094,1.87,14.766622478981212,-1.0182515154610667,-1.020288018491989,0.00880363808210319,0.002,Good_trade
23/03/2017,160.03,162.50796307265088,163.76147244966506,-1.2535093770141827,0.770568287081698,-1.6267336692007959,-3.0419919614054884,-3.0419919614054884,-0.0010611735330835481,-0.0036116882626196587,-0.02537682052000275,1.87,14.766622478981212,-1.0182515154610667,-1.020288018491989,0.00880363808210319,0.002,Good_trade
24/03/2017,160.22,162.437564208877,163.73391235278052,-1.296348143903515,0.7507535309555213,-1.7267293331988571,-3.228983853081863,-3.228983853081863,0.001187277385490182,-0.0008061375241744775,-0.026182958044177227,1.87,14.766622478981212,-1.0182515154610667,-1.020288018491989,0.00880363808210319,0.002,Good_trade
27/03/2017,160.26,162.37056223321923,163.7068780154048,-1.3363157821855793,0.7302402464438599,-1.8299673137617374,-3.422038876734449,-3.422038876734449,0.00024965672200716327,-0.0072600350560943555,-0.03344299310027158,1.87,14.766622478981212,-1.0182515154610667,-1.020288018491989,0.00880363808210319,0.002,Good_trade
28/03/2017,160.6,162.31608339527403,163.6826999763744,-1.3666165811003737,0.7146153494433898,-1.9123806704751365,-3.5761518537885055,-3.5761518537885055,0.002121552477224453,-0.012247095389687108,-0.04569008848995869,1.87,14.766622478981212,-1.0182515154610667,-1.020288018491989,0.00880363808210319,0.002,Good_trade
29/03/2017,161.15,162.2802039061887,163.6629902489318,-1.3827863427431168,0.706698230985809,-1.9566857282410322,-3.65900231181073,-3.65900231181073,0.0034246575342467,-0.006584614771487073,-0.05227470326144576,1.87,14.766622478981212,-1.0182515154610667,-1.020288018491989,0.00880363808210319,0.002,Good_trade
30/03/2017,161.44,162.25435147830595,163.6456907139207,-1.391339235614737,0.6906319792602515,-2.014588489089407,-3.7672804745971913,-3.7672804745971913,0.0017995656220912704,0.0004667096722743479,-0.05180799358917141,1.87,14.766622478981212,-1.0182515154610667,-1.020288018491989,0.00880363808210319,0.002,Good_trade
31/03/2017,161.42,162.22867912512731,163.6283701636178,-1.399691038490488,0.6717230481661612,-2.0837323392605285,-3.8965794744171887,-3.8965794744171887,-0.00012388503468785395,-0.01617338773299172,-0.06798138132216314,1.87,14.766622478981212,-1.0182515154610667,-1.020288018491989,0.00880363808210319,0.002,Good_trade
03/04/2017,162.09,162.2244120751234,163.61639841137176,-1.391986336248351,0.6716300234407012,-2.0725493019465215,-3.8756671946399956,-3.8756671946399956,0.0041506628670548995,-0.010520658681236616,-0.07850204000339975,1.87,14.766622478981212,-1.0182515154610667,-1.020288018491989,0.00880363808210319,0.002,Good_trade
04/04/2017,162.53,162.23381478050422,163.60794394902646,-1.374129168522245,0.6611873245940806,-2.078275123265343,-3.8863744805061913,-3.8863744805061913,0.00271454130421378,0.0031085257027365695,-0.07539351430066318,1.87,14.766622478981212,-1.0182515154610667,-1.020288018491989,0.00880363808210319,0.002,Good_trade
05/04/2017,162.4,162.2389281718733,163.5985436070107,-1.3596154351373855,0.6437790400090855,-2.1119287063434027,-3.949306680862163,-3.949306680862163,-0.0007998523349534992,0.00024318390892070295,-0.07515033039174249,1.87,14.766622478981212,-1.0182515154610667,-1.020288018491989,0.00880363808210319,0.002,Good_trade
06/04/2017,162.39,162.24357653581566,163.58913859839583,-1.3455620625801714,0.626142217512959,-2.1489719506931713,-4.01857754779623,-4.01857754779623,-6.15763546799597e-05,-0.011383371340515386,-0.08653370173225787,1.87,14.766622478981212,-1.0182515154610667,-1.020288018491989,0.00880363808210319,0.002,Good_trade
07/04/2017,162.85,162.26223571932903,163.58338654704647,-1.321150827717446,0.6183039722853375,-2.13673352741741,-3.995691696270557,-3.995691696270557,0.002832686741794488,-0.003435043521509889,-0.08996874525376776,1.87,14.766622478981212,-1.0182515154610667,-1.020288018491989,0.00880363808210319,0.002,Good_trade
