Date,PX_OPEN,PX_HIGH,PX_LOW,PX_CLOSE_1D,PX_VOLUME,OPEN_INT,INSTRUMENT,SECTYPE,EXCHANGE,CRNCY,TICK_SIZE,TICK_VALUE,POINT_VALUE,CONTRACT_VALUE,near,far,st_dev,no_days,no_days.1,Standard Cost,Instrument_Weights,Exchange rate,assetClass,ewma_2d_8d_forecast,ewma_2d_8d_fcastxret,ewma_4d_16d_forecast,ewma_4d_16d_fcastxret,ewma_8d_32d_forecast,ewma_8d_32d_fcastxret,ewma_16d_64d_forecast,ewma_16d_64d_fcastxret,ewma_32d_128d_forecast,ewma_32d_128d_fcastxret,ewma_64d_256d_forecast,ewma_64d_256d_fcastxret,capped_forecast,forecast*returns
1988-10-07,95.25,95.5625,94.3438,95.4375,26185,89003,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,95438,95.4375,95.0625,0.5521932240944748,983,,0.002,,1,rates,17.673213848390137,0.09331684317127531,13.371304329748618,0.12234853013521814,11.038114242574004,0.12932454299940277,7.1373938116987965,0.08924326650839788,1.0901679555260517,0.00748945054704479,-3.4668526828062416,-0.055301189585512625,17.673213848390137,0.09331684317127531
1988-10-10,95.3438,95.375,95.125,95.25,2892,89740,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,95250,95.25,94.875,0.6319052102458131,984,,0.002,,1,rates,16.261227558369555,-0.034721441745363305,14.827342335395205,-0.02626975310363154,12.462895009421223,-0.021685882598376952,8.091946671721198,-0.014022384698818682,1.611547294116538,-0.0021417838026051837,-3.298800624820956,0.006811105467202749,16.261227558369555,-0.034721441745363305
1988-10-11,95.0,95.25,94.9375,95.0938,18104,88889,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,95094,95.0938,94.7188,0.6808006882564853,985,,0.002,,1,rates,11.87490637686034,-0.026666705980234028,14.272981347789445,-0.024315284753687147,13.138180758321356,-0.0204378393750296,8.825354392152018,-0.013269942993415586,2.072844635990069,-0.0026427683710341203,-3.1518142337630675,0.005409686693932037,11.87490637686034,-0.026666705980234028
1988-10-12,94.6563,95.0938,94.4375,94.5,19212,87266,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,94500,94.5,94.1563,0.690142520673099,986,,0.002,,1,rates,1.8642761943250703,-0.07415120025258995,9.68948083479501,-0.08912564567108953,11.607604613094042,-0.0820395413191112,8.506833825201788,-0.05510869728688851,2.215817960842427,-0.012943589853922284,-2.9059175041627054,0.019681065348198596,1.8642761943250703,-0.07415120025258995
1988-10-13,94.4063,94.6563,94.125,94.5625,20812,86514,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,94563,94.5625,94.1875,0.6983320711365332,987,,0.002,,1,rates,-0.20947194697070007,0.0012329869010085021,7.558209564638415,0.006408386795498605,11.049888430964526,0.007676987177971363,8.715678577200647,0.00562621284735503,2.4889242650614576,0.0014654880693400602,-2.8302574706435535,-0.0019219031112184986,-0.20947194697070007,0.0012329869010085021
1988-10-14,94.9063,95.25,94.5313,94.8125,23726,85751,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,94813,94.8125,94.4375,0.7134312737703613,988,,0.002,,1,rates,2.2250480963977646,-0.0005537923251043168,7.36813576774863,0.01998204775846317,10.975101913422678,0.029213188184970085,9.015856374902445,0.02304211124177388,2.8039196413508853,0.006580103807168671,-2.69868312129439,-0.007482504879428046,2.2250480963977646,-0.0005537923251043168
1988-10-17,94.6875,94.9375,94.5938,94.875,11350,85508,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,94875,94.875,94.5313,0.7164240860168946,989,,0.002,,1,rates,3.358964855997604,0.0014667423179946526,7.383006894516595,0.004857044013018483,11.065090759475867,0.0072347408789870055,9.41533445908798,0.005943214485763313,3.1563920332852717,0.0018483319982538174,-2.5873269146474076,-0.00177896052820998,3.358964855997604,0.0014667423179946526
1988-10-18,94.9375,95.0625,94.7813,94.9375,13661,86069,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,94938,94.9375,94.5938,0.7186005254907862,990,,0.002,,1,rates,4.00849500739349,0.0022127568221325476,7.478426178918347,0.004863640905478079,11.199021867412329,0.007289256099785612,9.826076139274237,0.006202460117975539,3.5215007875406,0.0020793096398451245,-2.46724591539952,-0.0017044314325738484,4.00849500739349,0.0022127568221325476
1988-10-19,95.125,95.1875,94.5938,94.6563,21527,85550,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,94656,94.6563,94.2813,0.7127856916418112,991,,0.002,,1,rates,0.03689303244660277,-0.011872956377396004,5.552992865674769,-0.022150714327971652,10.408754891793173,-0.03317092770629416,9.794899607998385,-0.029104332959724824,3.7312075891321532,-0.010430504505136563,-2.3432128162835615,0.007307855709391283,0.03689303244660277,-0.011872956377396004
1988-10-20,94.5625,94.875,94.5,94.75,15779,84662,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,94750,94.75,94.4063,0.7014011035055054,992,,0.002,,1,rates,0.18187168566193862,3.652030705031239e-05,4.883526852306138,0.00549689171786449,10.065964510126628,0.010303596626542188,9.968546570851597,0.009695943040974526,4.015209211427175,0.003693511695488447,-2.241199767107419,-0.0023195396490857697,0.18187168566193862,3.652030705031239e-05
1988-10-21,94.6875,94.8125,94.4688,94.625,16273,86103,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,94625,94.625,94.2813,0.680350758915289,993,,0.002,,1,rates,-1.4697856221772985,-0.00023993626076772233,3.5769548679808536,-0.006442647562408974,9.410845778348667,-0.013279636556894917,9.988757948940894,-0.01315111684808881,4.244295900674616,-0.005297109777608262,-2.149912036724735,0.0029567279249437415,-1.4697856221772985,-0.00023993626076772233
1988-10-24,94.7188,94.875,94.2813,94.625,19115,85753,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,94625,94.625,94.2813,0.6311334576306251,994,,0.002,,1,rates,-1.7287842100574227,-0.0,2.7278283058202955,0.0,8.866831394126107,0.0,10.034363503736827,0.0,4.483344560933191,0.0,-2.0649767475031227,-0.0,-1.7287842100574227,-0.0
