Date,PX_OPEN,PX_HIGH,PX_LOW,PX_CLOSE_1D,PX_VOLUME,OPEN_INT,INSTRUMENT,SECTYPE,EXCHANGE,CRNCY,TICK_SIZE,TICK_VALUE,POINT_VALUE,CONTRACT_VALUE,near,far,st_dev,no_days,Standard Cost,Instrument_Weights,Exchange rate,gbpusd,assetClass
03/07/2014,171.54,171.56,170.85,171.53,81914,256411,BP1 Curncy,Future,CME,USD,0.01,6.25,625,107206,171.53,171.35,1.3765460399083063,6329,0.003,,1.33,,fx
04/07/2014,171.54,171.56,170.85,171.39,81914,256411,BP1 Curncy,Future,CME,USD,0.01,6.25,625,107119,171.39,171.21,1.3968456130346347,6330,0.003,,1.33,,fx
07/07/2014,171.42,171.53,170.99,171.22,76692,252041,BP1 Curncy,Future,CME,USD,0.01,6.25,625,107013,171.22,171.04,1.3801940684752656,6331,0.003,,1.33,,fx
08/07/2014,171.21,171.39,170.76,171.19,68032,253823,BP1 Curncy,Future,CME,USD,0.01,6.25,625,106994,171.19,171.02,1.3443625503020034,6332,0.003,,1.33,,fx
09/07/2014,171.2,171.52,170.85,171.49,71708,253443,BP1 Curncy,Future,CME,USD,0.01,6.25,625,107181,171.49,171.32,1.3022260428415346,6333,0.003,,1.33,,fx
10/07/2014,171.47,171.6,170.96,171.33,64503,250766,BP1 Curncy,Future,CME,USD,0.01,6.25,625,107081,171.33,171.16,1.2822718120539902,6334,0.003,,1.33,,fx
11/07/2014,171.26,171.42,170.8,171.08,55859,249185,BP1 Curncy,Future,CME,USD,0.01,6.25,625,106925,171.08,170.91,1.2366857590572666,6335,0.003,,1.33,,fx
14/07/2014,171.1,171.36,170.61,170.72,76426,248174,BP1 Curncy,Future,CME,USD,0.01,6.25,625,106700,170.72,170.55,1.1555724411109822,6336,0.003,,1.33,,fx
15/07/2014,170.77,171.84,170.5,171.38,127097,253920,BP1 Curncy,Future,CME,USD,0.01,6.25,625,107113,171.38,171.2,1.0327379467490252,6337,0.003,,1.33,,fx
16/07/2014,171.34,171.43,171.04,171.26,78405,247215,BP1 Curncy,Future,CME,USD,0.01,6.25,625,107038,171.26,171.09,0.8970466357194422,6338,0.003,,1.33,,fx
17/07/2014,171.29,171.35,170.77,171.04,61046,245373,BP1 Curncy,Future,CME,USD,0.01,6.25,625,106900,171.04,170.87,0.767782955434485,6339,0.003,,1.33,,fx
18/07/2014,170.93,171.1,170.28,170.86,94507,240447,BP1 Curncy,Future,CME,USD,0.01,6.25,625,106788,170.86,170.69,0.7352738718707338,6340,0.003,,1.33,,fx
21/07/2014,170.77,170.92,170.48,170.66,47091,239126,BP1 Curncy,Future,CME,USD,0.01,6.25,625,106663,170.66,170.49,0.7034493585107351,6341,0.003,,1.33,,fx
22/07/2014,170.66,170.76,170.33,170.52,71338,239593,BP1 Curncy,Future,CME,USD,0.01,6.25,625,106575,170.52,170.35,0.6521216655317364,6342,0.003,,1.33,,fx
23/07/2014,170.56,170.88,170.16,170.21,95680,239609,BP1 Curncy,Future,CME,USD,0.01,6.25,625,106381,170.21,170.05,0.6015194649019462,6343,0.003,,1.33,,fx
24/07/2014,170.32,170.47,169.59,169.77,102901,240715,BP1 Curncy,Future,CME,USD,0.01,6.25,625,106106,169.77,169.6,0.6287190681503907,6344,0.003,,1.33,,fx
