Date,PX_CLOSE_1D,FX_TO_USD,POINT_VALUE,price_volatility,one_pct_move,block_value,icv_local,ivv_usd,forecast_combined,daily_cash_vol_target,volatility_scaler,subsystem_position,target_contracts,current_position,trades,trade_pnl_usd,carry_pnl_usd,pnl_usd,portfolio_nav_usd
2017-09-04,162.16,1.0,1000.0,0.64,1.6216,1621.6,1037.824,1037.824,-15.86964414938882,120515.5625,116.12331426137764,-184.28356747757113,-131,-131.0,-66.0,0.0,175500.0000000011,175500.0000000011,9805230.000000002
2017-09-05,162.64,1.0,1000.0,0.63,1.6263999999999998,1626.3999999999999,1024.6319999999998,1024.6319999999998,-16.862142101308493,122565.37500000003,119.61892172018837,-201.70312560511132,-144,-144.0,-13.0,0.0,-62879.99999999866,-62879.99999999866,9719580.000000004
2017-09-06,162.57,1.0,1000.0,0.61,1.6257,1625.6999999999998,991.6769999999999,991.6769999999999,-17.306005860900097,121494.75000000006,122.51443766468323,-212.02355762698875,-151,-151.0,-7.0,0.0,10079.999999999018,10079.999999999018,9730220.000000002
2017-09-07,163.18,1.0,1000.0,0.6,1.6318000000000001,1631.8000000000002,979.08,979.08,-16.02878564421182,121627.75000000003,124.22656984107532,-199.1201059298305,-142,-142.0,9.0,0.0,-92110.00000000207,-92110.00000000207,9638470.0
2017-09-08,162.96,1.0,1000.0,0.58,1.6296000000000002,1629.6000000000001,945.168,945.168,-5.530687261317109,120480.875,127.47032802634028,-70.49985194111935,-50,-50.0,92.0,0.0,31239.99999999984,31239.99999999984,9672375.0
2017-09-11,162.77,1.0,1000.0,0.57,1.6277000000000001,1627.7,927.789,927.789,-5.922173932846977,120904.6875,130.31485337722262,-77.17472277333637,-55,-55.0,-5.0,0.0,9499.999999999887,9499.999999999887,9655475.0
2017-09-12,161.87,1.0,1000.0,0.57,1.6187,1618.7,922.659,922.659,-7.665366709671503,120693.4375,130.8104483888414,-100.2710056357027,-72,-72.0,-17.0,0.0,49500.00000000031,49500.00000000031,9705010.0
2017-10-02,161.22,1.0,1000.0,0.56,1.6122,1612.2,902.8320000000001,902.8320000000001,-10.241766121714818,121312.625,134.3689911301327,-137.6175781165592,-98,-98.0,-26.0,0.0,46800.00000000041,46800.00000000041,9743210.0
2017-10-03,161.12,1.0,1000.0,0.55,1.6112000000000002,1611.2000000000003,886.1600000000002,886.1600000000002,-10.35617886897041,121790.125,137.43581858806533,-142.33099203013728,-102,-102.0,-4.0,0.0,9799.999999999443,9799.999999999443,9740200.0
2017-10-04,161.32,1.0,1000.0,0.53,1.6132,1613.2,854.9960000000001,854.9960000000001,-9.62479042369794,121752.5,142.40125100000466,-137.05821969474516,-98,-98.0,4.0,0.0,-20399.99999999884,-20399.99999999884,9714530.000000002
