Date,PX_CLOSE_1D,FX_TO_USD,POINT_VALUE,price_volatility,one_pct_move,block_value,icv_local,ivv_usd,forecast,daily_cash_vol_target,volatility_scaler,subsystem_position,target_contracts,current_position,trades,trade_pnl_usd,carry_pnl_usd,pnl_usd,portfolio_nav_usd
2017-10-06,64.12,1.0,1000.0,0.77,0.6412000000000001,641.2000000000002,493.72400000000016,493.72400000000016,245.74737100080205,121331.37500000003,245.74737100080205,64.38161783060715,46,46.0,41.0,0.0,1200.00000000001,1200.00000000001,9713830.000000002
2017-10-09,64.28,1.0,1000.0,0.75,0.6428,642.8000000000001,482.1,482.1,251.86242480813115,121422.87500000003,251.86242480813115,107.91075810022642,77,77.0,31.0,0.0,7359.999999999844,7359.999999999844,9690950.000000002
2017-10-10,64.4,1.0,1000.0,0.73,0.644,644.0,470.12,470.12,257.6722432570408,121136.87500000003,257.6722432570408,150.75559053932227,108,108.0,31.0,0.0,9240.00000000035,9240.00000000035,9696030.000000004
2017-10-11,64.22,1.0,1000.0,0.71,0.6422,642.2,455.962,455.962,265.8124470898892,121200.37500000006,265.8124470898892,155.34334802421006,111,111.0,3.0,0.0,-19440.000000000735,-19440.000000000735,9698590.000000004
2017-10-12,63.265,1.0,1000.0,0.79,0.63265,632.6500000000001,499.7935000000001,499.7935000000001,242.5649293158075,121232.37500000006,242.5649293158075,27.18139263239716,19,19.0,-92.0,0.0,-106004.99999999981,-106004.99999999981,9571495.000000004
2017-11-01,63.875,1.0,1000.0,0.79,0.63875,638.75,504.6125,504.6125,237.10012633456375,119643.68750000006,237.10012633456375,93.28647090661582,67,67.0,48.0,0.0,11589.999999999989,11589.999999999989,9454465.000000004
2017-11-02,64.395,1.0,1000.0,0.78,0.64395,643.95,502.28100000000006,502.28100000000006,235.28824004889702,118180.81250000006,235.28824004889702,159.68180755477334,114,114.0,47.0,0.0,34839.99999999973,34839.99999999973,9487625.000000004
2017-11-03,65.26,1.0,1000.0,0.81,0.6526000000000001,652.6,528.6060000000001,528.6060000000001,224.35483611612437,118595.31250000006,224.35483611612437,228.8354002744533,163,163.0,49.0,0.0,98610.00000000103,98610.00000000103,9584785.000000004
2017-11-06,65.0,1.0,1000.0,0.8,0.65,650.0,520.0,520.0,230.4034855769232,119809.81250000006,230.4034855769232,247.78632835635995,177,177.0,14.0,0.0,-42380.00000000084,-42380.00000000084,9530405.000000004
2017-11-07,64.4,1.0,1000.0,0.81,0.644,644.0,521.64,521.64,228.3760112338012,119130.06250000006,228.3760112338012,173.82088961892254,124,124.0,-53.0,0.0,-106199.999999999,-106199.999999999,9422385.000000004
2017-11-08,64.07,1.0,1000.0,0.81,0.6406999999999999,640.6999999999999,518.967,518.967,226.95048529097238,117779.81250000006,226.95048529097238,124.86388685074773,89,89.0,-35.0,0.0,-40920.00000000155,-40920.00000000155,9381465.000000002
2017-11-09,63.755,1.0,1000.0,0.8,0.6375500000000001,637.5500000000001,510.0400000000001,510.0400000000001,229.9198347188456,117268.31250000003,229.9198347188456,76.63815990744477,55,55.0,-34.0,0.0,-28034.999999999167,-28034.999999999167,9346870.000000002
2017-11-10,63.625,1.0,1000.0,0.78,0.63625,636.25,496.27500000000003,496.27500000000003,235.42567125081865,116835.87500000003,235.42567125081865,43.540039275153916,31,31.0,-24.0,0.0,-7150.000000000141,-7150.000000000141,9352980.000000002
2017-12-01,66.745,1.0,1000.0,1.3,0.6674500000000001,667.45,867.6850000000001,867.6850000000001,134.7404299947562,116912.25000000003,134.7404299947562,207.56008568035654,148,148.0,117.0,0.0,96720.00000000015,96720.00000000015,9343440.000000002
2017-12-04,66.205,1.0,1000.0,1.29,0.66205,662.0500000000001,854.0445000000001,854.0445000000001,136.75282728241913,116793.00000000003,136.75282728241913,182.7377293452877,130,130.0,-18.0,0.0,-79920.00000000093,-79920.00000000093,9256050.0
2017-12-05,65.54,1.0,1000.0,1.29,0.6554000000000001,655.4000000000001,845.4660000000001,845.4660000000001,136.8483475385172,115700.625,136.8483475385172,133.51789149487158,95,95.0,-35.0,0.0,-86449.99999999897,-86449.99999999897,9165990.000000002
2017-12-06,65.565,1.0,1000.0,1.26,0.65565,655.65,826.119,826.119,138.6905215834523,114574.87500000003,138.6905215834523,128.38721989783258,92,92.0,-3.0,0.0,2374.99999999919,2374.99999999919,9160805.0
2017-12-07,66.055,1.0,1000.0,1.22,0.6605500000000001,660.5500000000001,805.8710000000001,805.8710000000001,142.09478005785044,114510.0625,142.09478005785044,144.76749407549954,103,103.0,11.0,0.0,45080.00000000084,45080.00000000084,9205885.0
2017-12-08,65.82,1.0,1000.0,1.2,0.6581999999999999,658.1999999999999,789.8399999999999,789.8399999999999,145.6922446318242,115073.5625,145.6922446318242,143.98117994636735,103,103.0,0.0,0.0,-24205.000000001404,-24205.000000001404,9053639.999999998
2017-12-11,65.675,1.0,1000.0,1.17,0.65675,656.75,768.3974999999999,768.3974999999999,147.2811923516149,113170.49999999999,147.2811923516149,140.2491509595554,100,100.0,-3.0,0.0,-14934.99999999959,-14934.99999999959,8618205.000000002
2017-12-12,65.745,1.0,1000.0,1.14,0.6574500000000001,657.45,749.4929999999999,749.4929999999999,143.73391412594918,107727.56250000003,143.73391412594918,136.62460378488424,97,97.0,-3.0,0.0,7000.0000000007385,7000.0000000007385,8660725.0
2018-01-01,68.305,1.0,1000.0,1.37,0.68305,683.0500000000001,935.7785000000001,935.7785000000001,115.68876876312075,108259.0625,115.68876876312075,218.81134761377092,156,156.0,59.0,0.0,248320.00000000023,248320.00000000023,9052145.0
2018-01-02,67.775,1.0,1000.0,1.36,0.6777500000000001,677.7500000000001,921.7400000000002,921.7400000000002,122.75892605289992,113151.8125,122.75892605289992,183.94571140137697,131,131.0,-25.0,0.0,-82680.00000000017,-82680.00000000017,9013465.0
2018-01-03,67.46,1.0,1000.0,1.33,0.6746,674.6,897.2180000000001,897.2180000000001,125.57518072530867,112668.3125,125.57518072530867,161.50617030279489,115,115.0,-16.0,0.0,-41265.000000001564,-41265.000000001564,8935299.999999996
2018-01-04,67.185,1.0,1000.0,1.31,0.6718500000000001,671.85,880.1235,880.1235,126.90406516812692,111691.24999999996,126.90406516812692,135.84622512353408,97,97.0,-18.0,0.0,-31624.999999999018,-31624.999999999018,8902444.999999998
2018-01-05,67.285,1.0,1000.0,1.27,0.67285,672.8499999999999,854.5194999999999,854.5194999999999,130.22589010549203,111280.56249999999,130.22589010549203,134.6481111233922,96,96.0,-1.0,0.0,9699.999999999449,9699.999999999449,8912144.999999998
2018-01-08,67.375,1.0,1000.0,1.23,0.67375,673.75,828.7125,828.7125,134.42757590841214,111401.81249999999,134.42757590841214,150.0557974770599,107,107.0,11.0,0.0,8640.000000000327,8640.000000000327,8894114.999999998
2018-01-09,66.98,1.0,1000.0,1.21,0.6698000000000001,669.8000000000001,810.4580000000001,810.4580000000001,137.1772966643552,111176.43749999999,137.1772966643552,128.0267565823297,91,91.0,-16.0,0.0,-42264.99999999957,-42264.99999999957,8914349.999999998
2018-01-10,67.145,1.0,1000.0,1.18,0.67145,671.45,792.311,792.311,140.6384298589821,111429.37499999999,140.6384298589821,141.1365034995906,101,101.0,10.0,0.0,15014.999999999276,15014.999999999276,8960645.0
2018-01-11,67.005,1.0,1000.0,1.15,0.6700499999999999,670.05,770.5574999999999,770.5574999999999,145.35977198327188,112008.0625,145.35977198327188,137.31740631069607,98,98.0,-3.0,0.0,-14140.000000000058,-14140.000000000058,9056704.999999998
2018-01-12,67.005,1.0,1000.0,1.12,0.6700499999999999,670.05,750.456,750.456,150.85336448772478,113208.81249999999,150.85336448772478,144.5958385721911,103,103.0,5.0,0.0,0.0,0.0,9045365.0
2018-02-01,65.815,1.0,1000.0,1.18,0.65815,658.15,776.617,776.617,145.58921901014273,113067.0625,145.58921901014273,95.09659617850266,68,68.0,-35.0,0.0,-122569.99999999977,-122569.99999999977,9232515.0
2018-02-02,65.26,1.0,1000.0,1.18,0.6526000000000001,652.6,770.068,770.068,149.8652554060161,115406.4375,149.8652554060161,54.07984305029561,39,39.0,-29.0,0.0,-37739.9999999995,-37739.9999999995,9312304.999999998
2018-02-05,64.905,1.0,1000.0,1.16,0.64905,649.0500000000001,752.898,752.898,154.60767926067007,116403.81249999999,154.60767926067007,13.860560070469703,10,10.0,-29.0,0.0,-13845.000000000155,-13845.000000000155,9261499.999999998
2018-02-06,65.26,1.0,1000.0,1.13,0.6526000000000001,652.6,737.438,737.438,156.98777388743187,115768.74999999999,156.98777388743187,27.71538261080598,20,20.0,10.0,0.0,3550.00000000004,3550.00000000004,9130299.999999996
2018-02-07,65.265,1.0,1000.0,1.1,0.6526500000000001,652.6500000000001,717.9150000000002,717.9150000000002,158.97251067326903,114128.74999999996,158.97251067326903,39.95401798657378,29,29.0,9.0,0.0,99.99999999990905,99.99999999990905,9239390.0
2018-02-08,64.955,1.0,1000.0,1.08,0.64955,649.55,701.514,701.514,164.63302941922754,115492.375,164.63302941922754,27.59591454708638,20,20.0,-9.0,0.0,-8990.000000000065,-8990.000000000065,9315659.999999996
2018-02-09,65.275,1.0,1000.0,1.05,0.65275,652.75,685.3875,685.3875,169.8976856158012,116445.74999999996,169.8976856158012,54.95683712114071,39,39.0,19.0,0.0,6400.000000000147,6400.000000000147,9268060.0
2018-02-12,65.345,1.0,1000.0,1.02,0.65345,653.4499999999999,666.5189999999999,666.5189999999999,173.8146249394241,115850.75,173.8146249394241,77.82484334962871,56,56.0,17.0,0.0,2729.999999999734,2729.999999999734,9283949.999999998
2018-03-01,64.97,1.0,1000.0,1.01,0.6497,649.7,656.197,656.197,176.85142571514345,116049.37499999999,176.85142571514345,82.6179579705436,59,59.0,3.0,0.0,-21000.0,-21000.0,8934250.0
2018-03-02,65.34,1.0,1000.0,0.98,0.6534000000000001,653.4000000000001,640.3320000000001,640.3320000000001,174.4065968903631,111678.125,174.4065968903631,112.63078032956703,80,80.0,21.0,0.0,21830.00000000027,21830.00000000027,8946279.999999998
2018-03-05,65.125,1.0,1000.0,0.96,0.65125,651.25,625.1999999999999,625.1999999999999,178.86836212412027,111828.49999999999,178.86836212412027,114.77458036337103,82,82.0,2.0,0.0,-17200.000000000273,-17200.000000000273,9277380.0
2018-03-06,65.06,1.0,1000.0,0.94,0.6506000000000001,650.6,611.564,611.564,189.62406224041965,115967.25,189.62406224041965,117.14997871881717,84,84.0,2.0,0.0,-5329.999999999814,-5329.999999999814,9364430.0
2018-03-07,65.69,1.0,1000.0,0.93,0.6569,656.9000000000001,610.9170000000001,610.9170000000001,191.6060201303941,117055.375,191.6060201303941,170.66979153512247,122,122.0,38.0,0.0,52919.99999999962,52919.99999999962,9379429.999999998
2018-03-08,66.235,1.0,1000.0,0.92,0.66235,662.35,609.3620000000001,609.3620000000001,192.4026686928295,117242.87499999999,192.4026686928295,230.8945218099962,165,165.0,43.0,0.0,66490.0000000002,66490.0000000002,9380319.999999998
2018-03-09,66.27,1.0,1000.0,0.89,0.6627,662.6999999999999,589.803,589.803,198.80197286212513,117253.99999999999,198.80197286212513,273.1397566961333,195,195.0,30.0,0.0,5774.999999999437,5774.999999999437,9424965.0
2018-03-12,66.12,1.0,1000.0,0.87,0.6612,661.2,575.244,575.244,204.8036355007614,117812.0625,204.8036355007614,284.2189475782403,203,203.0,8.0,0.0,-29249.999999998337,-29249.999999998337,9365265.0
2018-04-02,64.975,1.0,1000.0,0.95,0.6497499999999999,649.7499999999999,617.2624999999998,617.2624999999998,189.65320669893285,117065.8125,189.65320669893285,69.75269537736354,50,50.0,-153.0,0.0,-232435.00000000207,-232435.00000000207,8910349.999999998
2018-04-03,65.245,1.0,1000.0,0.93,0.6524500000000001,652.45,606.7785000000001,606.7785000000001,183.55853907150626,111379.37499999999,183.55853907150626,85.62862202996993,61,61.0,11.0,0.0,13500.000000000511,13500.000000000511,8925929.999999998
