Date,PX_CLOSE_1D,near,far,FX_TO_USD,st_dev_input,price_volatility,one_pct_move,POINT_VALUE,block_value,icv_local,ivv_usd,forecast,daily_cash_vol_target,volatility_scaler,subsystem_position,target_contracts,current_position,trades,exec_price,trade_pnl_usd,carry_pnl_usd,pnl_usd,nav_usd,Target_Pos_rounded,Current_pos,trades_needed
2017-11-22,65.625,65.625,65.8,0.6485,0.8352473685407918,1.27,0.65625,1000.0,656.25,833.4375,540.48421875,8.96791898927345,118094.52881250012,218.49764473349876,195.94691773170675,196,196.0,-3.0,65.625,-0.0,0.0,0.0,9447562.305000009,196,199,-3
2017-11-23,65.455,65.455,65.63,0.6485,0.8472690442362129,1.29,0.65455,1000.0,654.55,844.3695,547.57362075,9.181343859731463,118094.52881250012,215.66876916157602,198.01291294774782,198,198.0,2.0,65.625,-220.4900000000022,-21608.020000000215,-21828.510000000217,9425733.79500001,198,196,2
2017-11-24,65.94,65.94,66.11,0.6485,0.8727231328744695,1.32,0.6594,1000.0,659.4,870.408,564.4595879999999,8.85252767813418,117821.67243750012,208.73358331101664,184.78198236169015,185,185.0,-13.0,65.455,-4088.792499999995,62275.45499999992,58186.662499999926,9483920.457500009,185,198,-13
2017-11-27,66.125,66.125,66.3,0.6485,0.9126563792875066,1.38,0.66125,1000.0,661.25,912.525,591.7724625,9.320953775278955,118549.00571875012,200.32869596183707,186.72545149221952,187,187.0,2.0,65.94,239.94500000000295,22194.91250000027,22434.857500000275,9506355.315000009,187,185,2
2017-11-28,66.565,66.565,66.74,0.6485,0.977061922289196,1.47,0.66565,1000.0,665.65,978.5055,634.56081675,9.299642287623138,118829.44143750012,187.26249446995993,174.14742124586334,174,174.0,-13.0,66.125,-3709.419999999981,53358.579999999725,49649.15999999974,9556004.475000009,174,187,-13
2017-11-29,66.27,66.27,66.445,0.6485,0.9766166938231532,1.47,0.6627,1000.0,662.6999999999999,974.1689999999999,631.7485964999998,9.431734710612009,119450.05593750012,189.07846665473383,178.33379369767482,178,178.0,4.0,66.565,-765.2300000000043,-33287.505000000194,-34052.7350000002,9521951.74000001,178,174,4
2017-11-30,66.12,66.12,66.295,0.6485,0.9649697749950586,1.46,0.6612,1000.0,661.2,965.3520000000001,626.0307720000001,9.661896401824016,119024.39675000013,190.12547317721967,183.69726251860672,184,184.0,6.0,66.27,-583.6499999999668,-17314.949999999015,-17898.59999999898,9504053.14000001,184,178,6
2017-12-01,66.745,66.745,66.92,0.6485,0.9825946943275332,1.47,0.6674500000000001,1000.0,667.45,981.1515,636.27674775,9.327080650324142,118800.66425000013,186.71225165795025,174.14802296173193,174,174.0,-10.0,66.12,-4053.125,74577.5,70524.375,9574577.51500001,174,184,-10
2017-12-04,66.205,66.205,66.38,0.6485,0.9771102377182972,1.48,0.66205,1000.0,662.0500000000001,979.8340000000001,635.422349,9.170725265081362,119682.21893750013,188.3506601960897,172.73121581550342,173,173.0,-1.0,66.745,350.19000000000403,-60933.0600000007,-60582.8700000007,9513994.645000009,173,174,-1
2017-12-05,65.54,65.54,65.72,0.6485,0.9198929738401832,1.4,0.6554000000000001,1000.0,655.4000000000001,917.5600000000001,595.03766,9.095144994897527,118924.93306250012,199.86118704234642,181.77664750024755,182,182.0,9.0,66.205,-3881.272499999953,-74606.6824999991,-78487.95499999904,9435506.69000001,182,173,9
