Date,PX_CLOSE_1D,forecast_combined,carry,EWMA_2/8,EWMA_4/16,EWMA_8/32,EWMA_16/64,EWMA_32/128,EWMA_64/256
2017-10-07,160.94,-20.0,-20.0,-13.145026610063818,-17.46639389083596,-10.651894336736577,-1.9621204146606497,-0.023855847983523,-1.521431225658348
2017-10-08,164.11,-7.912620347658921,-20.0,14.066234355415892,12.760872824310448,7.459925295354349,2.4603787930575973,-0.0258373490349803,-1.8681294127699413
2017-10-10,161.48,-8.975329848583888,-8.071542157721174,2.932815343731676,-1.3561820706154764,-6.864335923388995,-7.240043710051335,-3.911826897449693,-2.484250412177898
2017-10-11,162.19,-5.2963801570107885,-7.225607408574575,-6.865312713705692,2.598456193663535,4.836549500131445,1.4320279546845274,-1.1853695651761569,-2.1331550825416485
2017-11-01,163.48,-15.698436990039474,-20.0,-0.7677306154003877,-3.09288835265252,-2.902798976727601,-1.7059591686073536,-0.7839448891365906,-0.3162928146878718
2017-11-04,163.21,17.013465572099047,20.0,11.07965309768702,11.823998890672048,5.291100239482975,-2.368894544621249,-4.904209855362688,-3.848954605869875
2017-11-05,160.42,6.467868978644569,20.0,-7.258594212777239,-10.68834951746916,-8.617374120341823,-5.936053991829775,-5.6547964934273365,-4.941505971732751
2017-11-07,160.69,-20.0,-20.0,-11.694843812978467,-16.92014609995406,-11.548341597864743,-2.899238641283261,-0.4527498055643644,-1.6932349077879334
2017-11-08,164.54,-6.421442461860886,-20.0,16.763636565466527,15.067840195380116,9.234883709804656,3.531080434141422,0.4492549849344031,-1.6851286359112891
2017-11-09,162.77,-5.922173932846977,-5.255302074492512,-6.802998199816788,-7.563712071288933,-2.4911818091333973,1.8447664660393923,2.0591512258974816,0.1853959462163837
2017-11-10,161.26,-9.757835184302577,-8.413563001142188,0.4308887802487612,-1.7315597844699433,-6.688676801024649,-7.305098412134506,-4.105594872290527,-2.6203921920963853
2017-11-12,163.64,-13.5987208613397,-20.0,0.7370256138244748,-0.2646215161399712,0.8405862371838808,1.0942686443909868,0.402414002875131,-0.3990655012634769
2017-12-01,163.89,-14.889182020524203,-20.0,1.8154862395048392,-1.5713331269519488,-2.414568648835953,-1.6425385406696942,-0.8046346590264449,-0.3347093410768245
2017-12-04,163.25,17.187804333286618,20.0,10.013353987534009,11.993157077475392,6.240126894475887,-1.6373673778927342,-4.683223839827197,-3.858639479316388
2017-12-05,160.88,8.01800185709513,20.0,-1.572220772753418,-7.933057585957101,-7.966613580852651,-6.003176219461674,-5.758992976021937,-5.018114517893966
2017-12-06,165.1,-4.048382295748421,-20.0,14.83613293416675,20.0,17.07822365335508,7.765558371925259,0.1966488404977601,-2.975171839272707
