Date,PX_OPEN,PX_HIGH,PX_LOW,PX_CLOSE_1D,PX_VOLUME,OPEN_INT,SECTYPE,EXCHANGE,CRNCY,TICK_SIZE,TICK_VALUE,POINT_VALUE,CONTRACT_VALUE,NAME,st_dev,no_days,Standard Cost,Instrument_Weights,Exchange rate
19/11/2012,1360.75,1385.75,1360.25,1382.5,1736394,3045985,Future,CME,USD,0.25,12.5,50,67987.5,ES1 Index,29.22576631443422,3830,0.001,,1
20/11/2012,1380,1387.5,1374,1386.25,1538979,3066774,Future,CME,USD,0.25,12.5,50,69125,ES1 Index,27.705106328363527,3831,0.001,,1
21/11/2012,1386,1389.75,1377,1388.25,1064943,3068623,Future,CME,USD,0.25,12.5,50,69312.5,ES1 Index,25.101253288749156,3832,0.001,,1
23/11/2012,1389,1407.5,1387.25,1405.25,910642,3052902,Future,CME,USD,0.25,12.5,50,69412.5,ES1 Index,22.506596255304387,3833,0.001,,1
26/11/2012,1403.25,1405,1395,1403.25,1220665,3055794,Future,CME,USD,0.25,12.5,50,70262.5,ES1 Index,21.77877885310879,3834,0.001,,1
27/11/2012,1404,1407.75,1395.5,1397.5,1637467,3055499,Future,CME,USD,0.25,12.5,50,70162.5,ES1 Index,20.50875321253402,3835,0.001,,1
28/11/2012,1397.5,1408.75,1383,1407,2120666,3036262,Future,CME,USD,0.25,12.5,50,69875,ES1 Index,20.515659669285746,3836,0.001,,1
29/11/2012,1406.75,1418.5,1404.5,1415.75,1877829,3044851,Future,CME,USD,0.25,12.5,50,70350,ES1 Index,20.875249499489964,3837,0.001,,1
30/11/2012,1411.5,1419.5,1409.75,1414.5,1680252,3037657,Future,CME,USD,0.25,12.5,50,70787.5,ES1 Index,21.09304782780229,3838,0.001,,1
03/12/2012,1413.25,1424,1404.5,1407,1652102,3042657,Future,CME,USD,0.25,12.5,50,70725,ES1 Index,21.07989761200518,3839,0.001,,1
04/12/2012,1406,1411.75,1401.5,1405.5,1619569,3043920,Future,CME,USD,0.25,12.5,50,70350,ES1 Index,21.029988508459898,3840,0.001,,1
05/12/2012,1402.75,1414.75,1396.75,1408.25,2045099,3034762,Future,CME,USD,0.25,12.5,50,70275,ES1 Index,21.050796699078997,3841,0.001,,1
06/12/2012,1406.5,1413.5,1404,1413,1381373,3026018,Future,CME,USD,0.25,12.5,50,70412.5,ES1 Index,21.246215349232298,3842,0.001,,1
07/12/2012,1412.25,1422.25,1408.5,1416,1771716,2976776,Future,CME,USD,0.25,12.5,50,70650,ES1 Index,20.87847775419995,3843,0.001,,1
10/12/2012,1416,1421,1410.75,1420.25,1136014,2965528,Future,CME,USD,0.25,12.5,50,70800,ES1 Index,21.42301138182848,3844,0.001,,1
11/12/2012,1417.5,1434.25,1415,1431.5,1772202,2898050,Future,CME,USD,0.25,12.5,50,71012.5,ES1 Index,22.421120994855475,3845,0.001,,1
12/12/2012,1431.25,1438.75,1425.75,1427.25,1829769,2787233,Future,CME,USD,0.25,12.5,50,71575,ES1 Index,22.53604520169001,3846,0.001,,1
13/12/2012,1425.75,1431.5,1415.75,1418,1950362,2362869,Future,CME,USD,0.25,12.5,50,71362.5,ES1 Index,22.94150169451155,3847,0.001,,1
14/12/2012,1416.75,1425.5,1411.5,1415,1041852,1792181,Future,CME,USD,0.25,12.5,50,70900,ES1 Index,22.78793540449131,3848,0.001,,1
17/12/2012,1421.25,1434.25,1415,1432.5,853447,1335441,Future,CME,USD,0.25,12.5,50,70750,ES1 Index,23.295908975596085,3849,0.001,,1
18/12/2012,1433.75,1448.25,1430.5,1445.75,874926,1041119,Future,CME,USD,0.25,12.5,50,71625,ES1 Index,24.512484064232364,3850,0.001,,1
19/12/2012,1445,1450.5,1432.75,1437.25,505063,867894,Future,CME,USD,0.25,12.5,50,72287.5,ES1 Index,24.48882398154786,3851,0.001,,1
20/12/2012,1433.5,1446.25,1431.75,1445.5,340934,745311,Future,CME,USD,0.25,12.5,50,71862.5,ES1 Index,23.1523576912997,3852,0.001,,1
21/12/2012,1445.5,1446.5,1393,1433.59,73100,,Future,CME,USD,0.25,12.5,50,72275,ES1 Index,20.21126519211182,3853,0.001,,1
24/12/2012,1424.25,1424.5,1417.5,1419.75,318126,2755660,Future,CME,USD,0.25,12.5,50,71679.5,ES1 Index,16.969892181916222,3854,0.001,,1
26/12/2012,1424,1425.5,1410.75,1413.5,578176,2765655,Future,CME,USD,0.25,12.5,50,70987.5,ES1 Index,15.566645132007604,3855,0.001,,1
27/12/2012,1413.25,1418.5,1396,1410.75,1467429,2781698,Future,CME,USD,0.25,12.5,50,70675,ES1 Index,14.317521573204811,3856,0.001,,1
28/12/2012,1413.25,1416.75,1382.25,1384,1061826,2784835,Future,CME,USD,0.25,12.5,50,70537.5,ES1 Index,14.696704245028977,3857,0.001,,1
