,AD1,RX1
2020-06-11,731.5874862992654,519.1035306706738
2020-06-12,738.3522104878233,522.713091646558
2020-06-15,771.577741476499,524.3870074596463
2020-06-16,784.9549664989988,517.2223931456239
2020-06-17,761.0153047322772,519.9079678574137
2020-06-18,770.2498613712178,519.8730311662579
2020-06-19,809.9484644276934,535.4551351656715
2020-06-22,833.9626607312739,542.1477327802556
2020-06-23,841.7203783225169,559.3382126701753
2020-06-24,886.1077625699871,564.4678849738154
2020-06-25,893.5552077943375,562.8837174300689
2020-06-26,893.2309968105737,561.8898933879065
2020-06-29,878.2742420862309,551.3080462920793
2020-06-30,879.9523284372791,559.7630899097584
2020-07-01,909.8629159042944,563.1939555081099
2020-07-02,858.6144457491478,573.9105712301576
2020-07-03,868.0696848047742,552.9581781195963
2020-07-06,874.1383538939035,511.91469730912803
2020-07-07,879.3433163496534,511.44592856769134
2020-07-08,868.3030781054326,539.6193431013106
2020-07-09,873.7966253309619,545.0609482622438
2020-07-10,873.6612349388004,545.2660054259749
2020-07-13,791.4812774012715,546.0638781640462
2020-07-14,806.3558404903076,506.1119721399185
2020-07-15,807.2474413174939,506.5259372432941
2020-07-16,845.5599327288437,536.9374233111034
2020-07-17,852.391397441503,532.7706245207412
2020-07-20,832.8010177909395,548.3388457482187
2020-07-21,825.9543995921185,547.34620181537
2020-07-22,831.7420837551517,542.0978922303224
2020-07-23,833.4088468014152,593.0970868332583
2020-07-24,809.4755118339903,554.8257211670352
2020-07-27,797.1589362545536,530.1281158300201
2020-07-28,794.1409539375628,507.15789622458954
2020-07-29,705.2496308955144,556.4951216449805
2020-07-30,701.3175766977652,570.5585742691557
2020-07-31,699.4103046284891,569.9642311304352
2020-08-03,702.4976256180859,574.1393996573825
2020-08-04,705.440186359594,633.6118766824573
2020-08-05,670.1971164660564,614.3725282206544
2020-08-06,751.7035342454893,591.423074652896
2020-08-07,737.8494011103264,591.5020343590198
2020-08-10,751.9288161786928,592.2663857957501
2020-08-11,748.3792193481304,584.8693811038555
2020-08-12,714.3807253708206,563.4384694333924
2020-08-13,721.3482031790684,556.8207899476772
2020-08-14,749.6320861084774,556.5014672593727
2020-08-17,745.9980290182757,543.892809536631
2020-08-18,738.3028337185974,531.9285265911918
2020-08-19,742.4667503365024,531.565758119313
2020-08-20,729.1500862305596,500.9855025761762
2020-08-21,739.3492534075729,529.3875592777163
2020-08-24,741.5403926271023,566.7186146630506
2020-08-25,752.1053760465443,581.1994225710657
2020-08-26,756.2527463532381,597.5703102705698
2020-08-27,733.0458534558494,565.1616729330426
2020-08-28,692.2476227273171,565.623246108281
2020-08-31,692.0915768278103,565.5835597642132
2020-09-01,693.5793092251097,575.3749011302007
2020-09-02,706.8626188471651,542.8016239595287
2020-09-03,706.6921755834501,531.8113502139845
2020-09-04,729.4847674271692,572.2606887014243
2020-09-07,732.4736382577519,576.2569049776796
2020-09-08,853.2545480566295,530.5108063803068
2020-09-09,838.6878706182661,538.7772796789591
2020-09-10,809.8961048068282,545.4974800582277
2020-09-11,829.2963235751431,545.3345073312186
2020-09-14,797.1536864426339,549.3481694829472
2020-09-15,796.4210398615821,556.5539853673034
2020-09-16,775.5033030945785,564.2753608218705
2020-09-17,774.1034171459388,562.3440440403886
2020-09-18,759.7738216551724,561.7933354708485
2020-09-21,753.8395276199194,568.5068355265748
2020-09-22,782.7549503261394,568.5382792080462
2020-09-23,783.8329128074618,568.1720203075214
2020-09-24,789.9166283118448,583.910286838709
2020-09-25,730.5476668401567,568.1860427347784
2020-09-28,750.067041480226,510.6526223901331
2020-09-29,740.9099062716691,503.2667634683414
2020-09-30,728.4471745685627,485.9130200117002
2020-10-01,724.8460813351813,441.6483104457279
2020-10-02,725.3370607416941,455.97649691593983
2020-10-05,724.4873338551054,465.64263364849756
2020-10-06,742.2898933943562,441.0341935552622
2020-10-07,734.6474653594025,435.40998609598523
2020-10-08,743.4986406643038,428.12113534742195
2020-10-09,733.0033467235991,401.42920091784185
2020-10-12,756.397220513909,414.9676625228251
2020-10-13,638.2293188553372,417.5033457932599
