,AD1,RX1
2020-12-28,134.94599613908048,224.91246633103955
2020-12-29,143.65957955204328,226.61821077048296
2020-12-30,143.25296468732355,227.6207428040773
2020-12-31,156.02906223219833,227.83241324610074
2021-01-01,132.58046500511816,204.39082832538446
2021-01-04,132.5743584071356,214.41612980230894
2021-01-05,133.7199486778688,210.66700918581103
2021-01-06,133.30221592736712,220.33463146649953
2021-01-07,125.66611374252003,226.12628981983175
2021-01-08,123.28958658940805,211.8385233667293
2021-01-11,125.38255687257646,210.88030062562058
2021-01-12,126.91755677460803,200.2187333371766
2021-01-13,121.28971058524844,200.66836189797058
2021-01-14,120.0308235854477,199.788185883914
2021-01-15,117.04887284697784,200.92593203381452
2021-01-18,122.25205297907807,200.33182354980156
2021-01-19,122.48427294679152,208.53834156338195
2021-01-20,123.5106729001056,203.88340047573664
2021-01-21,124.92527962894606,210.37094200541242
2021-01-22,135.31271348122294,215.7114686296117
2021-01-25,138.564521772827,217.36985047126353
2021-01-26,142.65390902654858,223.12238343737445
2021-01-27,142.429343005277,250.90981251415138
2021-01-28,145.13301624496313,239.84122589936783
2021-01-29,135.96354957492824,239.2671471399787
2021-02-01,135.48987624701155,244.08623376265663
2021-02-02,124.1065528632954,244.1408987540211
2021-02-03,121.57754258908494,243.69915512777874
2021-02-04,121.75334828814772,241.75007088345478
2021-02-05,138.5393952567564,275.3926746240837
2021-02-08,140.57206495924768,275.6259380418655
2021-02-09,140.44410590558792,260.1422800623974
2021-02-10,144.87667333534478,264.32655851295425
2021-02-11,152.93190568170692,264.45579612034095
2021-02-12,159.3703278503061,283.9639797054123
2021-02-15,156.4990073561344,274.6426593802829
2021-02-16,155.72991718780014,291.0723335331913
2021-02-17,162.52898715418473,284.5330729397525
2021-02-18,166.6688496420365,287.4600091274934
2021-02-19,171.68312771330108,286.1123532198434
2021-02-22,167.86527206435696,294.1720759656847
2021-02-23,171.01025196372737,297.8882555935804
2021-02-24,168.90753544830224,314.24597885331855
2021-02-25,168.09367774098416,318.43606504159385
2021-02-26,167.04508894691912,319.66347467823516
2021-03-01,165.15058783174706,317.07350530820025
2021-03-02,166.22685383176372,318.527111104249
2021-03-03,166.06891677428615,317.8758105684176
2021-03-04,160.34960072044134,342.17810898959925
2021-03-05,168.54742856123235,340.10295381495933
2021-03-08,174.48821890103963,321.36434544646556
2021-03-09,201.2718875855262,315.3971379571363
2021-03-10,243.1279391194942,329.8907148395728
2021-03-11,230.66753885804948,339.4170992416904
2021-03-12,226.50760832350375,311.8346127828713
2021-03-15,221.0592086564918,310.9555423492106
2021-03-16,215.3900052763495,330.95974750995384
2021-03-17,217.11150151940382,307.67227263925594
2021-03-18,221.55878504431408,307.0117838570036
2021-03-19,227.61246501303245,298.66184592550707
2021-03-22,230.67856798821518,317.3974673216508
2021-03-23,228.656641165961,322.80542910496894
2021-03-24,241.5367111279807,329.35358361223933
2021-03-25,244.79279812590048,308.279189499682
2021-03-26,230.5291733072983,268.6641995745809
2021-03-29,199.972500657865,266.9628721254035
2021-03-30,190.57138347588352,264.8053963124279
2021-03-31,186.79495393150003,256.6977929667108
2021-04-01,185.16472530508554,248.22308837753474
2021-04-02,184.06082773586326,245.3756046419434
2021-04-05,183.27633107321228,246.24426429003043
2021-04-06,182.67897586164483,247.70523367456352
2021-04-07,182.23370249174258,237.4794734787883
2021-04-08,181.694421306503,232.3359279817548
2021-04-09,185.99329753520468,229.05353254960696
2021-04-12,182.4262310971308,232.12352000287893
2021-04-13,179.38481163622382,236.79691330171923
2021-04-14,180.30173986736798,237.38951680825548
2021-04-15,181.6739513027443,231.39427619127497
2021-04-16,183.25450232853302,233.94249748780473
2021-04-19,184.98642193961615,229.77748317107412
2021-04-20,192.43961010756675,233.21943951344886
2021-04-21,188.89310441613898,246.19486365371446
2021-04-22,190.98833227128563,244.1942711645624
2021-04-23,191.0332134356038,240.33834205683405
2021-04-26,190.63097739374442,239.5586704830032
2021-04-27,190.06096162754608,244.2902169932696
2021-04-28,189.4258850620675,244.90133537368968
2021-04-29,182.51863790127,254.28695281150928
2021-04-30,178.0913334525118,247.96488587705772
2021-05-03,207.1381249593089,244.76849052112797
2021-05-04,212.42529382826896,244.83438400266843
2021-05-05,219.3759185423829,254.97655431255524
2021-05-06,207.81674895387133,271.85059373486257
2021-05-07,207.69098425466404,275.16587015572054
2021-05-10,212.54801612186435,263.3542651624188
2021-05-11,217.67399621694193,249.75046709228886
2021-05-12,210.48097413915315,255.4252516853328
2021-05-13,214.25439289935093,257.3646555270473
2021-05-14,215.2416470943273,263.56849869480556
2021-05-17,214.60957317611272,266.5697779359789
2021-05-18,224.5989202020367,264.3459825152865
2021-05-19,218.3559206214546,264.1538061438407
2021-05-20,195.75485561887888,263.57569153389176
2021-05-21,195.95836918895534,254.94727422949896
2021-05-24,195.36773369584384,241.74239067847864
2021-05-25,193.8026932060491,242.3604225946768
2021-05-26,197.66663665142994,241.53859763335444
2021-05-27,197.9968712266315,243.4764875401016
2021-05-28,198.50950740833568,251.80127287859094
2021-05-31,199.89295824608206,250.05045889149292
2021-06-01,198.472279449799,231.9165693867964
2021-06-02,198.96888312445657,231.6746406244496
2021-06-03,214.31643418668205,229.6535267202356
2021-06-04,220.94098560350272,253.02721660922802
2021-06-07,222.0276245866086,253.09313958495005
2021-06-08,193.16256569377327,254.8997459325382
2021-06-09,187.42322960970557,240.81126676946784
2021-06-10,193.94903870553722,241.6344048635027
2021-06-11,196.42325493995816,244.58995603874814
2021-06-14,174.1872301360532,250.12812992731895
2021-06-15,170.1834457296679,252.09151913500094
2021-06-16,173.64929179854298,226.76615169354224
2021-06-17,171.34421202342648,229.72295821231884
2021-06-18,154.56215303872332,228.2486069138095
2021-06-21,153.65724731751146,227.47247771116076
2021-06-22,155.1419299212639,226.74549344039013
2021-06-23,155.65809462734316,216.875472669147
2021-06-24,162.94198001546334,231.7841547529162
2021-06-25,150.9033880089807,235.8888654245925
2021-06-28,148.3367698645549,245.86218588325744
2021-06-29,148.1547778683685,246.73761981414455
2021-06-30,147.02528062671087,248.45641359818475
