Date,PX_OPEN,PX_HIGH,PX_LOW,PX_CLOSE_1D,PX_VOLUME,OPEN_INT,INSTRUMENT,SECTYPE,EXCHANGE,CRNCY,TICK_SIZE,TICK_VALUE,POINT_VALUE,CONTRACT_VALUE,near,far,st_dev,no_days,Standard Cost,Instrument_Weights,Exchange rate
12/02/2016,174.25,174.6563,171.625,174.3125,121087,637530,WN1 Comdty,Future,CBT,USD,0.031,31.25,1000,174313,174.31,176.281,3.9101755469435737,1575,0.003,,1
15/02/2016,174.25,174.6563,171.625,172.0313,121087,637530,WN1 Comdty,Future,CBT,USD,0.031,31.25,1000,172031,172.03,173.969,3.826209464367514,1576,0.003,,1
16/02/2016,171.8125,172.0313,170.2188,171,112611,641250,WN1 Comdty,Future,CBT,USD,0.031,31.25,1000,171000,171,172.813,3.7738656919727447,1577,0.003,,1
17/02/2016,171,171.8125,168.7813,169.4375,106074,638102,WN1 Comdty,Future,CBT,USD,0.031,31.25,1000,169438,169.44,171.219,3.704138801536594,1578,0.003,,1
18/02/2016,169.4063,171.75,169.1875,171.0625,100612,643947,WN1 Comdty,Future,CBT,USD,0.031,31.25,1000,171063,171.06,172.906,3.580845913153621,1579,0.003,,1
19/02/2016,171.6563,172.5313,170.7813,171.7188,102281,631933,WN1 Comdty,Future,CBT,USD,0.031,31.25,1000,171719,171.72,173.594,3.4390345719521878,1580,0.003,,1
22/02/2016,171.5938,171.7813,170.875,171.25,119679,585997,WN1 Comdty,Future,CBT,USD,0.031,31.25,1000,171250,171.25,173.156,3.375056623843378,1581,0.003,,1
23/02/2016,171.7188,172.8125,169.6875,172,289563,453684,WN1 Comdty,Future,CBT,USD,0.031,31.25,1000,172000,172,173.875,3.323238102360773,1582,0.003,,1
24/02/2016,174.5,176.2813,173.3125,173.8438,352917,407390,WN1 Comdty,Future,CBT,USD,0.031,31.25,1000,173844,171.97,173.844,3.3934350553064174,1583,0.003,,1
25/02/2016,173.6563,175.4063,173.3438,174.7188,247623,536147,WN1 Comdty,Future,CBT,USD,0.031,31.25,1000,174719,172.75,174.719,3.4191263223103987,1584,0.003,,1
26/02/2016,173.9688,174.2188,172.1563,172.75,163449,599448,WN1 Comdty,Future,CBT,USD,0.031,31.25,1000,172750,170.84,172.75,3.268550662436773,1585,0.003,,1
29/02/2016,172.6563,173.625,172.5625,173.1563,131726,605332,WN1 Comdty,Future,CBT,USD,0.031,31.25,1000,173156,171.28,173.156,3.129917738969491,1586,0.003,,1
01/03/2016,173.125,174.0313,170.1563,170.2813,110106,605599,WN1 Comdty,Future,CBT,USD,0.031,31.25,1000,170281,168.53,170.281,2.9535381837240404,1587,0.003,,1
02/03/2016,170.4688,171.0625,169.875,170.7813,100744,605409,WN1 Comdty,Future,CBT,USD,0.031,31.25,1000,170781,169,170.781,2.733996066240023,1588,0.003,,1
03/03/2016,170.9063,172.25,170.4063,171.7188,83310,605966,WN1 Comdty,Future,CBT,USD,0.031,31.25,1000,171719,169.91,171.719,2.4807299645230665,1589,0.003,,1
04/03/2016,171.6563,172.2813,169.3125,170.1875,109137,605166,WN1 Comdty,Future,CBT,USD,0.031,31.25,1000,170188,168.47,170.188,2.273454601163017,1590,0.003,,1
07/03/2016,170.4063,170.5313,169.5313,170.375,61203,606044,WN1 Comdty,Future,CBT,USD,0.031,31.25,1000,170375,168.63,170.375,1.9672239986969717,1591,0.003,,1
08/03/2016,170.3125,173.5313,170.2188,172.2813,85438,613533,WN1 Comdty,Future,CBT,USD,0.031,31.25,1000,172281,170.41,172.281,1.8835355359578374,1592,0.003,,1
09/03/2016,172.2813,172.4063,170.4688,170.75,93648,614296,WN1 Comdty,Future,CBT,USD,0.031,31.25,1000,170750,168.97,170.75,1.7190695492666914,1593,0.003,,1
10/03/2016,171.4063,172,169.4063,170.2188,122421,614845,WN1 Comdty,Future,CBT,USD,0.031,31.25,1000,170219,168.44,170.219,1.578336588326243,1594,0.003,,1
11/03/2016,170.3438,170.8438,168.4375,168.75,82144,612329,WN1 Comdty,Future,CBT,USD,0.031,31.25,1000,168750,167.06,168.75,1.5601609327403763,1595,0.003,,1
14/03/2016,168.6875,170,168.4063,169.3125,55910,611947,WN1 Comdty,Future,CBT,USD,0.031,31.25,1000,169313,167.56,169.313,1.634234444436492,1596,0.003,,1
15/03/2016,169.3438,170.625,168.9688,169.5,56363,612343,WN1 Comdty,Future,CBT,USD,0.031,31.25,1000,169500,167.75,169.5,1.685505851245449,1597,0.003,,1
16/03/2016,169.2813,170.0625,168.625,169.125,78231,608945,WN1 Comdty,Future,CBT,USD,0.031,31.25,1000,169125,167.38,169.125,1.718565997903284,1598,0.003,,1
17/03/2016,169.875,171.4375,169.4375,170.5313,81097,618088,WN1 Comdty,Future,CBT,USD,0.031,31.25,1000,170531,168.78,170.531,1.6143327038591844,1599,0.003,,1
18/03/2016,170.7813,171.9063,170.3438,171,73005,614552,WN1 Comdty,Future,CBT,USD,0.031,31.25,1000,171000,169.31,171,1.482524717191128,1600,0.003,,1
21/03/2016,170.9688,171.125,169.0625,169.1875,62139,614900,WN1 Comdty,Future,CBT,USD,0.031,31.25,1000,169188,168.13,169.188,1.5176745937395915,1601,0.003,,1
22/03/2016,169.5,170.7813,169.2188,169.5938,63373,616217,WN1 Comdty,Future,CBT,USD,0.031,31.25,1000,169594,169.59,171.594,1.5434187686483445,1602,0.003,,1
23/03/2016,169.4063,171.7813,169.1875,171.6563,68581,621559,WN1 Comdty,Future,CBT,USD,0.031,31.25,1000,171656,171.66,173.656,1.5169103434995643,1603,0.003,,1
24/03/2016,170.9688,171.125,169.0625,173.6563,62139,617834,WN1 Comdty,Future,CBT,USD,0.031,31.25,1000,173656,171.66,173.656,1.6053499977313221,1604,0.003,,1
25/03/2016,170.9688,171.125,169.0625,173.3125,62139,617834,WN1 Comdty,Future,CBT,USD,0.031,31.25,1000,173313,171.31,173.313,1.660252952178056,1605,0.003,,1
28/03/2016,170.9688,171.125,169.0625,173.9063,62139,620040,WN1 Comdty,Future,CBT,USD,0.031,31.25,1000,173906,171.91,173.906,1.7465088183905446,1606,0.003,,1
29/03/2016,171.5313,173.3438,171.25,172.875,82601,619625,WN1 Comdty,Future,CBT,USD,0.031,31.25,1000,172875,172.88,174.875,1.7696565729116103,1607,0.003,,1
30/03/2016,170.9688,171.125,169.0625,173.4688,97254,614900,WN1 Comdty,Future,CBT,USD,0.031,31.25,1000,173469,171.47,173.469,1.749007543165343,1608,0.003,,1
31/03/2016,170.9688,171.125,169.0625,174.5313,106387,614900,WN1 Comdty,Future,CBT,USD,0.031,31.25,1000,174531,172.53,174.531,1.7341817626907707,1609,0.003,,1
01/04/2016,172.7188,173.8438,172,172.5625,95003,617388,WN1 Comdty,Future,CBT,USD,0.031,31.25,1000,172563,172.56,174.594,1.7281176749716063,1610,0.003,,1
04/04/2016,173.25,173.6875,172.5938,172.9688,47458,619773,WN1 Comdty,Future,CBT,USD,0.031,31.25,1000,172969,172.97,175,1.720153884409552,1611,0.003,,1
05/04/2016,173.3438,175.3438,173.3438,175,65661,624503,WN1 Comdty,Future,CBT,USD,0.031,31.25,1000,175000,175,177.031,1.8570122538769795,1612,0.003,,1
06/04/2016,175,175.0313,173.2188,173.8125,72145,625427,WN1 Comdty,Future,CBT,USD,0.031,31.25,1000,173813,173.81,175.938,1.907091441501758,1613,0.003,,1
07/04/2016,173.7188,176.0625,173.5,175.9375,75372,626751,WN1 Comdty,Future,CBT,USD,0.031,31.25,1000,175938,175.94,178.156,2.094444393703475,1614,0.003,,1
08/04/2016,175.9063,175.9063,174.25,174.6563,54640,625824,WN1 Comdty,Future,CBT,USD,0.031,31.25,1000,174656,174.66,176.875,2.1430001885011385,1615,0.003,,1
11/04/2016,174.75,175.4063,173.5938,174.4375,55037,627838,WN1 Comdty,Future,CBT,USD,0.031,31.25,1000,174438,174.44,176.656,2.1717350771712285,1616,0.003,,1
12/04/2016,174.2813,174.4688,172.7813,173.0313,63646,631052,WN1 Comdty,Future,CBT,USD,0.031,31.25,1000,173031,173.03,175.25,2.179205129265238,1617,0.003,,1
13/04/2016,173.1875,174.125,172.7188,173.9688,72183,630196,WN1 Comdty,Future,CBT,USD,0.031,31.25,1000,173969,173.97,176.219,2.188034294417996,1618,0.003,,1
14/04/2016,173.7813,174.1875,172.4688,173.25,100020,631359,WN1 Comdty,Future,CBT,USD,0.031,31.25,1000,173250,173.25,175.5,2.152755403836966,1619,0.003,,1
15/04/2016,173.1875,174.7813,172.9375,174.3438,52208,633003,WN1 Comdty,Future,CBT,USD,0.031,31.25,1000,174344,174.34,176.625,2.0454679962173112,1620,0.003,,1
18/04/2016,174.6875,175.125,172.8125,173.4688,61971,631952,WN1 Comdty,Future,CBT,USD,0.031,31.25,1000,173469,173.47,175.75,1.9307025196499317,1621,0.003,,1
