Date,PX_OPEN,PX_HIGH,PX_LOW,PX_CLOSE_1D,PX_VOLUME,OPEN_INT,INSTRUMENT,SECTYPE,EXCHANGE,CRNCY,TICK_SIZE,TICK_VALUE,POINT_VALUE,CONTRACT_VALUE,near,far,st_dev,no_days,no_days,Standard Cost,Instrument_Weights,Exchange rate,assetClass
13/05/1994,103.8125,104.625,103.2188,103.9063,121286,266315,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,103906,103.9063,102.875,1.0817171825885088,2443,,0.002,,1,rates
16/05/1994,103.9688,104.5938,103.9063,104.3125,94111,258590,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,104313,104.3125,103.3125,1.0849721773424454,2444,,0.002,,1,rates
17/05/1994,104.4063,105.375,104.1875,105.3438,88059,254254,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,105344,105.3438,104.3125,1.0663850664779582,2445,,0.002,,1,rates
18/05/1994,105.6563,105.8438,105.25,105.7188,134017,249714,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,105719,105.7188,104.7188,1.07071233863592,2446,,0.002,,1,rates
19/05/1994,105.5625,106.4063,105.375,106.2813,110845,239278,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,106281,106.2813,105.2813,1.100683914106987,2447,,0.002,,1,rates
20/05/1994,106.0938,106.4063,105.75,105.9688,98260,234255,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,105969,105.9688,104.9688,1.113404761130118,2448,,0.002,,1,rates
23/05/1994,105.6875,105.9688,104.7813,104.8125,84596,215078,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,104813,104.8125,103.7813,1.1082175044219522,2449,,0.002,,1,rates
24/05/1994,104.7813,105.375,104.7813,105.0938,88443,208980,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,105094,105.0938,104.0313,1.107865231172346,2450,,0.002,,1,rates
25/05/1994,104.9063,105.375,104.625,105.25,102281,199804,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,105250,105.25,104.1563,1.108349888170348,2451,,0.002,,1,rates
26/05/1994,105.4375,105.6875,105.3438,105.4688,93228,188144,TY1 Comdty,Future,CBT,USD,0.016,15.625,1000,105469,105.4688,104.3438,1.0885300919468794,2452,,0.002,,1,rates
