Date,Open,High,Low,Close
2004-12-03,34.35,36.55,32.9,36.19
2004-12-10,37.24,54.12,37.11,52.51
2004-12-17,47.75,48.2,47.3,47.32
2005-01-07,48.21,59.15,47.05,56.5
2005-01-14,60.51,69.6,57.02,58.47
2005-02-04,47.19,53.1,46.45,53.05
2005-02-11,49.28,69.66,49.03,59.75
2005-02-18,58.47,59.55,58.15,59.32
2005-03-04,43.1,55.2,41.25,53.57
2005-03-11,51.0,66.62,49.3,61.78
2005-04-01,42.18,44.13,41.85,43.91
2005-04-08,46.5,62.1,46.25,61.38
2005-04-15,65.4,65.49,60.5,60.58
2005-05-06,43.9,57.2,42.6,50.83
2005-05-13,58.89,69.66,58.8,59.91
2005-06-03,43.39,45.75,42.8,45.56
2005-06-10,55.99,67.56,50.25,61.36
2005-06-17,59.77,60.45,59.55,59.94
2005-07-01,45.5,46.1,44.75,45.43
2005-07-08,46.32,62.1,45.1,60.73
2005-07-15,65.83,66.5,58.6,59.21
2005-08-05,45.4,55.4,44.78,53.32
2005-08-12,54.9,65.15,53.75,60.66
2005-09-02,45.45,46.4,44.6,45.46
2005-09-09,54.54,65.35,50.65,64.08
2005-09-16,60.64,61.5,59.03,59.39
2005-10-07,45.6,56.0,45.0,53.54
2005-10-14,64.19,66.2,58.3,57.8
2005-11-04,45.4,55.3,45.18,53.71
2005-11-11,53.2,66.95,51.7,57.53
2005-12-02,45.98,46.7,45.2,46.37
2005-12-09,55.2,67.75,49.95,63.34
2005-12-16,63.4,63.9,60.52,61.3
2006-01-06,67.8,73.85,61.46,70.34
2006-01-13,74.4,75.45,57.8,63.43
2006-02-03,60.39,67.19,59.73,63.36
2006-02-10,73.8,76.5,60.84,61.03
2006-02-17,58.6,58.96,57.6,57.88
2006-03-03,61.04,65.4,60.81,63.67
2006-03-10,66.43,76.19,58.43,58.68
2006-03-17,57.86,59.35,57.77,59.14
2006-04-07,63.0,74.0,62.26,73.93
2006-04-14,75.6,75.68,57.75,62.44
2006-05-05,63.4,70.7,62.6,70.19
2006-05-12,72.7,75.4,59.34,62.43
2006-06-02,62.6,66.62,62.6,65.11
2006-06-09,63.75,75.35,61.8,67.5
2006-06-16,61.29,63.01,58.5,62.19
2006-07-07,65.1,75.78,61.1,74.09
2006-07-14,74.57,77.3,58.89,62.49
2006-08-04,63.19,63.49,61.0,60.02
2006-08-11,70.05,77.45,58.88,59.83
2006-08-18,62.75,63.65,61.95,62.03
2006-09-01,64.15,64.61,62.9,63.5
2006-09-08,63.6,78.5,61.45,76.35
2006-09-15,61.38,63.21,61.15,61.16
2006-10-06,64.1,73.6,61.7,72.13
2006-10-13,73.94,77.7,60.08,59.59
2006-11-03,64.0,65.15,63.25,63.94
2006-11-10,70.11,76.34,59.2,57.59
2006-11-17,63.2,63.3,62.15,61.22
2006-12-01,64.45,65.45,64.37,63.94
2006-12-08,70.37,76.1,69.9,74.95
2006-12-15,66.33,67.4,59.02,61.02
2007-01-05,60.5,66.15,57.1,64.4
2007-01-12,64.23,96.24,63.8,93.49
2007-02-02,60.98,61.55,57.05,59.02
2007-02-09,61.84,77.44,61.16,76.86
2007-02-16,80.22,96.03,78.87,95.93
2007-03-02,60.95,60.97,57.72,58.32
2007-03-09,65.8,77.36,62.74,74.04
2007-03-16,80.21,89.99,79.57,89.31
2007-04-06,58.35,66.48,55.39,66.21
2007-04-13,71.28,89.98,70.7,88.32
2007-05-04,55.41,64.94,54.9,64.38
2007-05-11,66.05,96.12,65.23,93.98
2007-05-18,88.23,90.39,86.82,87.49
