Date,AD1_alpha_forecast,AD1_one_perc_change,AD1_block_value,AD1_price_volatility,AD1_cash_vol_daily,AD1_std_dev,AD1_icv,AD1_ivv,AD1_vol_scalar,AD1_alpha_subsystem_position,AD1_alpha_trades_needed,AD1_alpha_target_pos,AD1_daily_instrument_pnls,AD1_daily_current_pnls,RX1_alpha_forecast,RX1_one_perc_change,RX1_block_value,RX1_price_volatility,RX1_cash_vol_daily,RX1_std_dev,RX1_icv,RX1_ivv,RX1_vol_scalar,RX1_alpha_subsystem_position,RX1_alpha_trades_needed,RX1_alpha_target_pos,RX1_daily_instrument_pnls,RX1_daily_current_pnls,AUM
2025-01-13,-15.757219936203771,0.6156,615.6,1.12,250552.36386660958,0.687110374433999,689.4720000000001,447.12259200000005,560.3661464429191,-882.9812614304046,-1142.931125619061,-656.9380585042211,703588.4009310947,34019.51469803893,6.012259557872533,1.6457,1645.7,0.32,250552.36386660958,0.519237582083733,526.624,595.5064192000001,420.7383090902701,252.95879201911043,-145.07816545852972,282.30201189332723,238755.1368951031,68380.82837629566,20986532.647154965
2025-01-14,-16.48665489131644,0.6187,618.7,1.04,262331.65808943706,0.6455389866782075,643.4480000000001,417.27602800000005,628.6765605654131,-1036.4773492301763,-1331.5052942701705,-771.1391478272512,823802.3255649598,173713.50539730221,7.356614302953905,1.6488999999999998,1648.8999999999999,0.35,262331.65808943706,0.5705590825218624,577.1149999999999,652.6016419999999,401.97823788104586,295.7198854271909,-90.71491695352506,330.02339213674503,149579.82656466725,134636.25890888355,21959914.799284592
2025-01-15,-15.33722582456834,0.62295,622.95,0.95,274498.93499105744,0.5908309825899576,591.8025,383.78392125,715.2434476593056,-1096.9850276293596,-1444.8334211216566,-816.1568605562436,900058.9796877403,267187.5382403032,9.404696548133453,1.6459000000000001,1645.9,0.35,274498.93499105744,0.5723903097085269,576.0649999999999,651.4143019999999,421.38917452115976,396.30373150399566,40.2967264774133,442.27496435845916,66324.38210917503,-120593.4713643069,22926298.161081508
2025-01-16,-12.7467126491272,0.6213000000000001,621.3000000000001,0.86,286578.72701351886,0.5332356420835321,534.3180000000001,346.50522300000006,827.0545665440628,-1054.222690488562,-1499.585129382796,-784.3416817234902,931692.2408855279,-118015.16886378481,7.745788207526934,1.6430000000000002,1643.0000000000002,0.33,286578.72701351886,0.5462700797056222,542.19,613.108452,467.4193057992925,362.0530946830586,-17.33792085486641,404.05125366629335,28486.203964545526,-122202.86061113297,23886476.60593158
2025-01-17,-11.980960712977124,0.6213000000000001,621.3000000000001,0.75,298580.95757414476,0.4681224020719281,465.975,302.18478749999997,988.0740855432532,-1183.8076800404515,-1707.8074804941589,-880.752913950096,1061060.7876310174,0.0,4.883200428682144,1.6407,1640.7,0.32,298580.95757414476,0.5300226410084805,525.024,593.6971392,502.91796584446934,245.5849226403665,-193.34653213264346,274.072773666649,317223.65527002997,-107506.44033384578,25264761.04883263
2025-01-20,-11.396453936389232,0.62,620.0,0.59,315809.51311040786,0.3667132167261178,365.79999999999995,237.22129999999996,1331.286495396526,-1517.1945220923567,-2116.866809979967,-1128.7927244367136,1312457.422187574,-128449.63112062545,2.1062584128022306,1.6413,1641.3,0.31,315809.51311040786,0.5078936896454073,508.803,575.3544324000001,548.8955943088131,115.61159632630176,-373.89542434431655,129.02254150015276,613674.5599763271,30175.077950669303,27190893.03099653
2025-01-21,-11.37141125268791,0.6267,626.7,0.47,339886.16288745665,0.2964465943835865,294.549,191.01502649999998,1779.3687183424634,-2023.393346644035,-2836.6911452996883,-1505.4046499031622,1777754.3407593134,891961.9519156747,1.4188823206211467,1.6447,1644.7,0.31,339886.16288745665,0.5031623329652005,509.857,576.5462956,589.5210245583904,83.6460959380365,-455.5465512419644,93.34904306684872,749237.4128276589,186624.50206499832,29717884.7845835
2025-01-22,-7.43045356585109,0.62795,627.95,0.51,371473.5598072938,0.317556687834295,320.2545,207.68504325,1788.6389601976973,-1329.0398739821167,-2768.1743845851584,-988.8056662426949,1738275.104800246,222421.0897928079,3.203620284283002,1.6457,1645.7,0.3,371473.5598072938,0.5004747745707833,493.71,558.287268,665.3806760416643,213.16270305370125,-351.6314479504598,237.8895766079306,578679.8738920735,58952.10245583569,32034839.76327582
2025-01-23,-5.356611285229849,0.62895,628.95,0.55,400435.4970409478,0.3436232190276844,345.92250000000007,224.33074125000005,1785.0228408717821,-956.1673493806833,-2500.0274681369256,-711.3885079392285,1572392.2760847274,178863.89601977228,4.472033754722936,1.6532,1653.2,0.33,400435.4970409478,0.5532018920024147,545.556,616.9147248,649.0937579270238,290.2769195429609,-341.4316338317199,323.94904220994437,564454.7770505988,499035.50703124824,34171686.816411145
2025-01-24,-3.766470635590069,0.6314500000000001,631.45,0.6,427146.08520513936,0.3802020296126893,378.87,245.697195,1738.5061526857862,-654.8032373883678,-2272.196449488728,-487.1736086169457,1434778.4480296595,446255.7102179455,8.289191750970405,1.6507,1650.7,0.34,427146.08520513936,0.5639674931368778,561.238,634.6479304000001,673.0441631408482,557.8992125145899,-26.478236760741538,622.6155211662823,43707.62542095607,-162273.43948175595,35650172.88986176
