Date,FinalForecast,Multiplier,CARRY_forecast,EWMA004_forecast,EWMA008_forecast,EWMA016_forecast,EWMA032_forecast,EWMA064_forecast
2017-10-04,-7.769073709817117,1.5731526165691494,11.814473834943978,-9.445209633875892,-7.734574832036226,-9.4508547819742,-10.163841005341572,-8.190603134553845
2017-10-05,-8.685701991613959,1.5710959989044084,11.625125925015684,-6.752125090592493,-7.113773980913641,-9.180589149663565,-9.997557823594084,-8.11379655294498
2017-10-06,-7.732956379546168,1.5710623168026356,12.11816027249237,-3.858354072769546,-6.242434658384471,-9.010881448644591,-10.097706712362957,-8.290963138582262
2017-10-09,-6.647011888174201,1.571262661792473,12.40006892344382,-1.2267102577818114,-5.191764989980515,-8.759634322055945,-10.20201706459858,-8.498896197563425
2017-10-10,-5.625647642458886,1.5714864885174131,13.016162440683122,0.9738003752579332,-4.074470962296038,-8.437920853277287,-10.287571850919928,-8.712882442560911
2017-10-11,-4.590270434831067,1.5717517573041695,13.6032517896426,1.0884658237009404,-3.604329981728097,-8.275324278940314,-10.39335005046059,-8.916417284366624
2017-10-12,-4.35717397944448,1.584647409418276,11.847919814500974,-3.957078749840132,-4.711523738047671,-7.647931160514599,-9.187297404270982,-7.842332356938692
2017-10-13,-5.677377186284163,1.5845137751370306,12.142834957584352,-7.259235579955141,-6.249724898132409,-8.339004962458457,-9.617318469594856,-8.162178552812076
2017-10-16,-7.256456973631312,1.5841124946402647,11.83907376066417,-6.35997876455279,-6.281004915904997,-8.368196379294874,-9.639568453874237,-8.210223711413944
2017-10-17,-7.134085917665187,1.5841849132936257,11.83118065966673,-4.813564347310408,-6.007919415482951,-8.437325637484516,-9.849478599051844,-8.450398097553528
2017-10-18,-6.791431618271562,1.5838531181761553,12.065023278946864,-4.938535353148703,-6.207370741831816,-8.644560557736519,-10.087968340385777,-8.687868159866525
2017-10-19,-6.995023646563223,1.5837024505567376,11.792290525098943,-5.407274020195153,-6.5726397754589625,-8.962348390345248,-10.417772481068264,-8.996027056607016
2017-10-20,-7.5381879568507015,1.5834438466360319,12.078174376926702,-6.265651979108296,-7.117664210833582,-9.349179929236865,-10.766636416817946,-9.306597480228596
