date,roll_corr_to_basket_26w,roll_corr_to_basket_52w
2016-03-19,-0.11075424380171475,-0.18239539830796392
2016-03-26,-0.22399039055329598,-0.20982241819013486
2016-04-02,-0.24933311651773118,-0.2610262580401633
2016-04-09,-0.3918294099660059,-0.2742692746754162
2016-04-16,-0.4011159716839504,-0.29064141103135654
2016-04-23,-0.3901648698648393,-0.2792977133186714
2016-04-30,-0.33744227791759457,-0.28337928382345495
2016-05-07,-0.24749607765207635,-0.2951939952618954
2016-05-14,-0.10973708951347957,-0.2357672668210896
2016-05-21,-0.111656566773087,-0.22468055091267425
2016-05-28,-0.005816482402151573,-0.20618298234663537
2016-06-04,0.020111012072656226,-0.191592449560732
2016-06-11,0.048366381074805544,-0.19670096654183353
2016-06-18,0.049157900332438574,-0.20958874488776683
2016-06-25,0.5567541921964584,-0.2085378118581473
2016-07-02,0.5265683161183589,-0.225760090806394
2016-07-09,0.5115831260433363,-0.21529833500781195
2016-07-16,0.5125426756140458,-0.21324696795790213
2016-07-23,0.3375478019832148,-0.21361367625094158
2016-07-30,0.28404351094766667,-0.2118759356044242
2016-08-06,0.3003902926902351,-0.00745359815569448
2016-08-13,0.3602603840863852,-0.003945787333229684
2016-08-20,0.34990484096990027,-0.01055856582628858
2016-08-27,0.38132082046206256,0.0005773409544534041
2016-09-03,0.39145726341215087,0.007295777568778913
2016-09-10,0.2982838860597387,-0.0077767863624048856
2016-09-17,0.296003417661967,-0.007795231215309245
2016-09-24,0.3377182178031673,-0.08178856451269712
2016-10-01,0.4484499628978018,-0.07954195218139447
2016-10-08,0.44298529281293714,-0.17423171075628996
2016-10-15,0.5695373032796789,-0.1747729462917587
2016-10-22,0.6365991556727334,-0.12148917803111209
2016-10-29,0.6901776932376231,0.0008521967416238433
2016-11-05,0.6896178023991494,0.07950064072237426
2016-11-12,0.6054449050753924,0.07547011678760918
2016-11-19,0.5310537640908055,0.06109025790582455
2016-11-26,0.019491702455432414,-0.01421049493428949
2016-12-03,-0.007265828891305338,-0.009519159107758607
2016-12-10,-0.059713255313133776,-0.010253188604888193
2016-12-17,-0.04657489024947252,-0.006715472996714193
2016-12-24,-0.013537231252133025,0.2875682407744052
2016-12-31,-0.03624393495232555,0.2677692201969464
2017-01-07,-0.04487637486355508,0.2527966960988056
2017-01-14,-0.03179833163777524,0.2571907439038408
2017-01-21,-0.03350699607246732,0.1414179225051555
2017-01-28,-0.009717759679091914,0.1362803291829832
2017-02-04,-0.04296805976849022,0.11608033359850288
2017-02-11,-0.04329273632904511,0.1358647422400785
2017-02-18,-0.012489117323347057,0.13864973768964822
2017-02-25,-0.05690661011046379,0.13703784917307515
2017-03-04,-0.06841199779362246,0.13937902868095442
2017-03-11,0.013397927065403168,0.1547292719579028
2017-03-18,0.03678434332307315,0.16713392409924896
2017-03-25,0.04356178395182361,0.18761327237221362
2017-04-01,0.059632638587262345,0.23794988753723778
2017-04-08,0.05028105670770463,0.22976135857717989
2017-04-15,0.1263775951402604,0.3139428057968825
2017-04-22,-0.06294425037824286,0.3055763856572503
