date,asset,y,p_up,signal_up,position,ret_fwd_1w,strat_ret,turnover
2016-03-19,ndx,1.0,0.6986301369863014,1,0.27810579306880784,0.0287252612058026,0.007988661548748392,0.08152579562243029
2016-03-19,dax,0.0,0.6986301369863014,1,0.23801159463741334,-0.005756571434372,-0.0013701307467390616,0.14728363593074284
2016-03-19,sx5e,0.0,0.999999,1,0.26696054837924743,-0.0111995392954836,-0.0029898351519172324,0.025275189150126026
2016-03-26,spx,0.0,0.6890243902439024,1,0.2729543560631528,-0.0121479365875781,-0.0033158322087583946,0.021626008016909448
2016-03-26,ndx,0.0,0.6890243902439024,1,0.25163836013247065,-0.012610103969921,-0.0031731858840908784,0.026467432936337187
2016-03-26,dax,0.0,0.6890243902439024,1,0.4214969736841909,-0.0175994217245349,-0.0074181029954832655,0.18348537904677759
2016-03-26,sx5e,0.0,0.6890243902439024,1,0.18125879520162735,-0.0139844511864775,-0.00253480477361688,0.08570175317762008
2016-04-02,spx,1.0,0.7019230769230769,1,0.24360631613686679,0.0161799179527251,0.003941530207860117,0.02934803992628604
2016-04-02,ndx,1.0,0.7058901736088471,1,0.22680059259782048,0.0152471658774548,0.0034580662564440163,0.024837767534650168
2016-04-02,dax,1.0,0.7019230769230769,1,0.35722689083018755,0.0446163375340096,0.015938155537504446,0.06427008285400337
2016-04-02,sx5e,1.0,0.7019230769230769,1,0.23349330906696333,0.0488876984045221,0.011414950473139568,0.05223451386533598
2016-04-09,spx,1.0,0.6666666666666666,1,0.1890599318972178,0.0052145160592675,0.000985856051042062,0.054546384239649
2016-04-09,ndx,0.0,0.6666666666666666,1,0.17980547341279393,-0.0151810634008048,-0.002729638291691347,0.04699511918502655
2016-04-09,dax,1.0,0.6938775510204082,1,0.14955405467100086,0.0320268375985044,0.004789743421145993,0.2076728361591867
2016-04-09,sx5e,1.0,0.6666666666666666,1,0.12341577204064297,0.0284120300948813,0.003506492629401758,0.11007753702632037
2016-04-16,spx,0.0,0.696969696969697,1,0.2606671878054402,-0.0125646640338881,-0.0032751956394337692,0.0716072559082224
2016-04-16,ndx,0.0,0.696969696969697,1,0.20832593038312275,-0.0297014655166631,-0.006187585437501078,0.028520456970328817
2016-04-16,dax,0.0,0.999999,1,0.2692045203691978,-0.0322475849497132,-0.008681195639452502,0.11965046569819693
2016-04-16,sx5e,0.0,0.999999,1,0.2696603275280503,-0.0359457773023634,-0.009693150080605673,0.14624455548740734
2016-04-23,spx,0.0,0.6915887850467289,1,0.22647968759807557,-0.0039509998547427,-0.0008948212128021688,0.03418750020736461
2016-04-23,ndx,0.0,0.6915887850467289,1,0.19728953882951825,-0.0025637481860272,-0.0005058006972963202,0.011036391553604502
2016-04-23,dax,0.0,0.6923076923076923,1,0.11210903247475382,-0.0168363885936504,-0.0018875112356031274,0.15709548789444397
2016-04-23,sx5e,0.0,0.6923076923076923,1,0.12838303659929726,-0.0301729404499687,-0.0038736937180967484,0.14127729092875305
2016-04-30,spx,0.0,0.608294930875576,1,0.0,-0.0051187571093848,-0.0,0.22647968759807557
2016-04-30,ndx,0.0,0.608294930875576,1,0.08557481106219979,-0.000840613647963,-7.193535410074025e-05,0.11171472776731846
2016-04-30,dax,1.0,0.6825396825396826,1,0.10502154086072235,0.0084042978941127,0.0008826323146922398,0.007087491614031466
2016-04-30,sx5e,1.0,0.6825396825396826,1,0.11257401861012321,0.006738535296441,0.0007585839978665212,0.015809017989174043
2016-05-07,spx,1.0,0.6064414768263945,1,0.0,0.0027899795271206,0.0,0.0
2016-05-07,ndx,1.0,0.6064414768263945,1,0.09855822397820947,0.0084062747744728,0.0008285075120448626,0.012983412916009685
2016-05-07,dax,0.0,0.6064414768263945,1,0.0,-0.0037054526821327,-0.0,0.10502154086072235
2016-05-07,sx5e,1.0,0.6064414768263945,1,0.05942057760181893,0.0018703726878235,0.00011113862544113893,0.053153441008304284
2016-05-14,spx,1.0,0.6080870917573873,1,0.0,0.0227742262415215,0.0,0.0
2016-05-14,ndx,1.0,0.6080870917573873,1,0.09481823066782671,0.0342982878360724,0.003252102967552228,0.003739993310382758
2016-05-14,dax,1.0,0.6666666666666666,1,0.19492534854106724,0.0373426031815182,0.007279019940588201,0.19492534854106724
2016-05-14,sx5e,1.0,0.6837606837606838,1,0.16304635399918485,0.0392686418019283,0.00640260887230439,0.10362577639736592
2016-05-21,spx,1.0,0.6170212765957447,1,0.10824889448440182,3.33482606500457e-05,3.6099123483451264e-06,0.10824889448440182
2016-05-21,ndx,0.0,0.6846153846153846,1,0.23020709665543912,-0.0006094128805506,-0.00014029116989598155,0.1353888659876124
2016-05-21,dax,0.0,0.6846153846153846,1,0.17107744547129253,-0.0177954971219027,-0.0030444081885068522,0.023847903069774717
2016-05-21,sx5e,0.0,0.6846153846153846,1,0.1526442088283428,-0.0262889477924169,-0.004012855636703086,0.010402145170842064
2016-05-28,spx,0.0,0.6814159292035398,1,0.24084509707073,-0.0014577467808091,-0.0003510911649285119,0.1325962025863282
2016-05-28,ndx,0.0,0.6814159292035398,1,0.22501460553385141,-0.0108075985799781,-0.0024318675312419847,0.005192491121587706
2016-05-28,dax,0.0,0.6846514184087016,1,0.17006754061712112,-0.0265894374686981,-0.004522000236694216,0.0010099048541714062
2016-05-28,sx5e,0.0,0.999999,1,0.2687685796101342,-0.0288368834548214,-0.007750448206535326,0.11612437078179139
2016-06-04,spx,0.0,0.6625766871165644,1,0.1803530042583558,-0.0118555200923634,-0.002138178665703039,0.06049209281237422
2016-06-04,ndx,0.0,0.6060377358490565,1,0.08340124645013482,-0.019428161531478,-0.0016203328879598254,0.14161335908371658
2016-06-04,dax,0.0,0.6060377358490565,1,0.0,-0.0206678041449491,-0.0,0.17006754061712112
2016-06-04,sx5e,0.0,0.6625766871165644,1,0.10018990901841637,-0.0212771073576746,-0.002131751450340496,0.1685786705917178
2016-06-11,spx,0.0,0.6129032258064516,1,0.0,-0.0163237125945093,-0.0,0.1803530042583558
2016-06-11,ndx,0.0,0.6129032258064516,1,0.0803290913450577,-0.020272587200929,-0.0016284785090640733,0.0030721551050771206
2016-06-11,dax,1.0,0.6129032258064516,1,0.05888375207947153,0.0649617499501629,0.0038251915787140146,0.05888375207947153
2016-06-11,sx5e,1.0,0.7777777777777778,1,0.17371301430863678,0.0662263045027149,0.01150437098168825,0.07352310529022041
2016-06-18,spx,1.0,0.5975954738330975,1,0.0,0.0321682920963377,0.0,0.0
2016-06-18,ndx,1.0,0.6296296296296297,1,0.12088373382195836,0.0354061180203932,0.004280023746446055,0.04055464247690066
2016-06-18,dax,0.0,0.5975954738330975,1,0.0,-0.0468858919199807,-0.0,0.05888375207947153
2016-06-18,sx5e,0.0,0.5975954738330975,1,0.033962318253883454,-0.0509569236238668,-0.0017306152573525965,0.13975069605475332
2016-06-25,spx,1.0,0.598159509202454,1,0.0,0.0128153308447658,0.0,0.0
2016-06-25,ndx,1.0,0.598159509202454,1,0.06458134188700457,0.0204892911228096,0.0013232259150245344,0.05630239193495379
