date,base_corr_26w,combo_corr_26w,base_corr_52w,combo_corr_52w
2018-07-14,0.9212452674691481,0.9212452674691481,0.9194208266341748,0.9194208266341748
2018-07-21,0.9171816027790429,0.9171816027790429,0.91936367706005,0.91936367706005
2018-07-28,0.8953227652166899,0.8953227652166899,0.9172582863471899,0.9172582863471899
2018-08-04,0.8908934481792188,0.8908934481792188,0.9176881618883987,0.9176881618883987
2018-08-11,0.9166617056004267,0.9166617056004267,0.9184775628330972,0.9184775628330972
2018-08-18,0.911505649423317,0.911505649423317,0.9180360744347621,0.9180360744347621
2018-08-25,0.9266549693776636,0.9266549693776636,0.9208165550866318,0.9208165550866318
2018-09-01,0.9311098647822201,0.9311098647822201,0.9212898022548841,0.9212898022548841
2018-09-08,0.9435090428932722,0.9435090428932722,0.9207382220375216,0.9207382220375216
2018-09-15,0.9529010402823057,0.9529010402823057,0.9209899168763218,0.9209899168763218
2018-09-22,0.955988206612104,0.955988206612104,0.9220920647759391,0.9220920647759391
2018-09-29,0.9678926748802374,0.9678926748802374,0.9289359441410149,0.9289359441410149
2018-10-06,0.970135109992623,0.970135109992623,0.9290138355617626,0.9290138355617626
2018-10-13,0.8079729577178976,0.8079729577178976,0.8770740664407783,0.8770740664407783
2018-10-20,0.8017939930310688,0.8017939930310688,0.8757334947800961,0.8757334947800961
2018-10-27,0.7813492915321187,0.7813492915321187,0.8726918322734757,0.8726918322734757
2018-11-03,0.7789708206734848,0.7789708206734848,0.8710821070525356,0.8710821070525356
2018-11-10,0.7775402007006345,0.7775402007006345,0.8678134256652333,0.8678134256652333
2018-11-17,0.788424648156688,0.788424648156688,0.8666844201465747,0.8666844201465747
2018-11-24,0.45265032320215115,0.45265032320215115,0.7158565592101743,0.7158565592101743
2018-12-01,0.43429835738506967,0.43429835738506967,0.7154598904529849,0.7154598904529849
2018-12-08,0.4549820447159654,0.4549820447159654,0.7126565392078619,0.7126565392078619
2018-12-15,0.4517261065626098,0.4517261065626098,0.7135485837736716,0.7135485837736716
2018-12-22,0.4273213421558463,0.4273213421558463,0.6948372581889584,0.6948372581889584
2018-12-29,0.4040962420384844,0.4040962420384844,0.6854112359220474,0.6854112359220474
2019-01-05,0.420911850967234,0.420911850967234,0.6856982397702442,0.6856982397702442
2019-01-12,0.4101368623828105,0.4101368623828105,0.6839014812478577,0.6839014812478577
2019-01-19,0.4140355749870098,0.4140355749870098,0.6641775586902,0.6641775586902
2019-01-26,0.4139507024293433,0.4139507024293433,0.6118203217532374,0.6118203217532374
2019-02-02,0.45550917023867565,0.45550917023867565,0.6118408990024953,0.6118408990024953
2019-02-09,0.44182402424954714,0.44182402424954714,0.6204161066654132,0.6204161066654132
2019-02-16,0.4442705949684138,0.4442705949684138,0.6105146237463961,0.6105146237463961
2019-02-23,0.4183740646861218,0.4183740646861218,0.6076948695558013,0.6076948695558013
2019-03-02,0.45125183567154076,0.45125183567154076,0.6260604773172292,0.6260604773172292
2019-03-09,0.4557626116117742,0.4557626116117742,0.5808213291199199,0.5808213291199199
2019-03-16,0.46207826965174675,0.46207826965174675,0.5820095703477465,0.5820095703477465
2019-03-23,0.4807132655079643,0.4807132655079643,0.5990568683448185,0.5990568683448185
2019-03-30,0.36950458000661407,0.36950458000661407,0.5944509175488565,0.5944509175488565
2019-04-06,0.37239052052054106,0.37239052052054106,0.5971369215666125,0.5971369215666125
2019-04-13,0.43236013185458755,0.43236013185458755,0.5990227203138727,0.5990227203138727
2019-04-20,0.42533798072960394,0.42533798072960394,0.5967361074283671,0.5967361074283671
2019-04-27,0.5099015389932187,0.5099015389932187,0.6163213133378135,0.6163213133378135
2019-05-04,0.49843235887938075,0.49843235887938075,0.6164883429932334,0.6164883429932334
2019-05-11,0.4967001842177831,0.4967001842177831,0.6241641648284593,0.6241641648284593
2019-05-18,0.5168902310663629,0.5168902310663629,0.6372504563305494,0.6372504563305494
2019-05-25,0.8687820145758622,0.8687820145758622,0.6623192815154464,0.6623192815154464
2019-06-01,0.8687892546398117,0.8687892546398117,0.6592620684662249,0.6592620684662249
2019-06-08,0.9198969406700626,0.9198969406700626,0.6646905925293309,0.6646905925293309
2019-06-15,0.9194706234640777,0.9194706234640777,0.6582864855934658,0.6582864855934658
2019-06-22,0.9304027182144754,0.9304027182144754,0.6594197072352656,0.6594197072352656
2019-06-29,0.957402981183303,0.957402981183303,0.6594763928055308,0.6594763928055308
2019-07-06,0.9723184230173967,0.9723184230173967,0.6612929089233291,0.6612929089233291
2019-07-13,0.9709658783336023,0.9709658783336023,0.6642958587694752,0.6642958587694752
2019-07-20,0.9768719447158632,0.9768719447158632,0.6922481723142375,0.6922481723142375
2019-07-27,0.9770514227075345,0.9770514227075345,0.6928115020795883,0.6928115020795883
2019-08-03,0.9763985287503134,0.9763985287503134,0.692494012450769,0.692494012450769
2019-08-10,0.9789959266841809,0.9789959266841809,0.6902371809305613,0.6902371809305613
2019-08-17,0.980506772223739,0.980506772223739,0.7018793783566007,0.7018793783566007
2019-08-24,0.9795163095648799,0.9795163095648799,0.6959648758981964,0.6959648758981964
2019-08-31,0.9809327349791788,0.9809327349791788,0.6959950217954329,0.6959950217954329
2019-09-07,0.9815330108482324,0.9815330108482324,0.6959066773325754,0.6959066773325754
2019-09-14,0.9820041981091305,0.9820041981091305,0.6975580088798844,0.6975580088798844
2019-09-21,0.9859498796199248,0.9859498796199248,0.6959540028794777,0.6959540028794777
2019-09-28,0.9866015346861478,0.9866015346861478,0.6755292603756851,0.6755292603756851
2019-10-05,0.9864991613196658,0.9864991613196658,0.6755663968009288,0.6755663968009288
2019-10-12,0.986924219406738,0.986924219406738,0.7177520871085747,0.7177520871085747
2019-10-19,0.9869262520844511,0.9869262520844511,0.7184943318264241,0.7184943318264241
2019-10-26,0.9892472592105416,0.9892472592105416,0.7243033169041996,0.7243033169041996
2019-11-02,0.9891685444423574,0.9891685444423574,0.7219005728746795,0.7219005728746795
2019-11-09,0.9907311430151947,0.9907311430151947,0.7185170454895486,0.7185170454895486
2019-11-16,0.9898817398356928,0.9898817398356928,0.7195282095995855,0.7195282095995855
2019-11-23,0.9882516909521677,0.9882516909521677,0.9057217652370418,0.9057217652370418
2019-11-30,0.9883017851639916,0.9883017851639916,0.9051996440346827,0.9051996440346827
2019-12-07,0.9877963927655554,0.9877963927655554,0.9383828206678967,0.9383828206678967
2019-12-14,0.9876875255068431,0.9876875255068431,0.9387706056618165,0.9387706056618165
2019-12-21,0.9875901457916002,0.9875901457916002,0.9486572078399149,0.9486572078399149
