Date,PX_OPEN,PX_HIGH,PX_LOW,PX_CLOSE_1D,PX_VOLUME,OPEN_INT,INSTRUMENT,SECTYPE,EXCHANGE,CRNCY,TICK_SIZE,TICK_VALUE,POINT_VALUE,CONTRACT_VALUE,near,far,st_dev,no_days,Standard Cost,Instrument_Weights,Exchange rate
21/03/2013,8430,8510,8390,8415,83807,204385,XU1 Index,Future,SGX,USD,1,1,1,8415,8415,8440,274.08362470848084,579,0.0237,,1
22/03/2013,8410,8490,8395,8445,67295,185110,XU1 Index,Future,SGX,USD,1,1,1,8445,8445,8460,241.2505613119676,580,0.0237,,1
25/03/2013,8430,8550,8400,8435,92445,150019,XU1 Index,Future,SGX,USD,1,1,1,8435,8435,8450,208.59909715370168,581,0.0237,,1
26/03/2013,8445,8460,8250,8310,104939,150340,XU1 Index,Future,SGX,USD,1,1,1,8310,8300,8310,191.5989735532861,582,0.0237,,1
27/03/2013,8305,8455,8280,8330,92650,190268,XU1 Index,Future,SGX,USD,1,1,1,8330,8305,8330,172.342198353565,583,0.0237,,1
28/03/2013,8295,8325,7975,8000,112766,225676,XU1 Index,Future,SGX,USD,1,1,1,8000,7990,8000,188.70656233070673,584,0.0237,,1
29/03/2013,8020,8055,7955,7970,17110,203611,XU1 Index,Future,SGX,USD,1,1,1,7970,7970,7955,205.55575075067344,585,0.0237,,1
01/04/2013,7980,8010,7875,7950,34025,209047,XU1 Index,Future,SGX,USD,1,1,1,7950,7950,7935,219.46848672798802,586,0.0237,,1
02/04/2013,7945,8085,7915,7975,54481,196966,XU1 Index,Future,SGX,USD,1,1,1,7975,7975,7980,231.32552820647882,587,0.0237,,1
03/04/2013,7980,8070,7945,7945,55684,192429,XU1 Index,Future,SGX,USD,1,1,1,7945,7945,7945,241.21428923954707,588,0.0237,,1
04/04/2013,7945,7960,7930,7945,485,187535,XU1 Index,Future,SGX,USD,1,1,1,7945,7945,7945,230.7505868537283,589,0.0237,,1
05/04/2013,7945,7960,7930,7930,485,186889,XU1 Index,Future,SGX,USD,1,1,1,7930,7930,7945,221.16792262895348,590,0.0237,,1
08/04/2013,7825,7915,7750,7870,73957,203694,XU1 Index,Future,SGX,USD,1,1,1,7870,7870,7860,232.8381054152007,591,0.0237,,1
09/04/2013,7860,8005,7800,7965,30609,197995,XU1 Index,Future,SGX,USD,1,1,1,7965,7965,7955,230.68286311154563,592,0.0237,,1
10/04/2013,7980,8000,7910,7965,32187,196453,XU1 Index,Future,SGX,USD,1,1,1,7965,7965,7965,217.6547342313971,593,0.0237,,1
11/04/2013,7965,8090,7920,7930,50667,199779,XU1 Index,Future,SGX,USD,1,1,1,7930,7930,7925,212.03910802807138,594,0.0237,,1
12/04/2013,7950,7990,7880,7890,28839,194437,XU1 Index,Future,SGX,USD,1,1,1,7890,7890,7885,204.25719081590935,595,0.0237,,1
15/04/2013,7885,7905,7800,7850,61028,192815,XU1 Index,Future,SGX,USD,1,1,1,7850,7850,7845,202.4047100901397,596,0.0237,,1
16/04/2013,7840,7900,7750,7875,44194,190157,XU1 Index,Future,SGX,USD,1,1,1,7875,7875,7860,203.42238487116785,597,0.0237,,1
17/04/2013,7855,7935,7790,7825,46595,187319,XU1 Index,Future,SGX,USD,1,1,1,7825,7825,7815,208.48101432346363,598,0.0237,,1
18/04/2013,7820,7950,7790,7875,58791,190979,XU1 Index,Future,SGX,USD,1,1,1,7875,7875,7865,208.72070652750355,599,0.0237,,1
19/04/2013,7890,8195,7870,8145,69914,188841,XU1 Index,Future,SGX,USD,1,1,1,8145,8145,8140,208.33226666395262,600,0.0237,,1
22/04/2013,8140,8200,8095,8115,75049,169089,XU1 Index,Future,SGX,USD,1,1,1,8115,8115,8115,208.65102444034858,601,0.0237,,1
23/04/2013,8115,8150,7840,7880,116793,132540,XU1 Index,Future,SGX,USD,1,1,1,7880,7880,7870,211.49605985299175,602,0.0237,,1
24/04/2013,7875,8045,7845,7960,133749,168487,XU1 Index,Future,SGX,USD,1,1,1,7960,7975,7960,196.3355970441265,603,0.0237,,1
25/04/2013,7950,8005,7850,7865,92368,200888,XU1 Index,Future,SGX,USD,1,1,1,7865,7935,7865,181.89099299674047,604,0.0237,,1
26/04/2013,7880,7965,7845,7875,51045,195414,XU1 Index,Future,SGX,USD,1,1,1,7875,7875,7785,159.39991635299032,605,0.0237,,1
29/04/2013,7870,7880,7805,7875,656,186612,XU1 Index,Future,SGX,USD,1,1,1,7875,7875,7785,130.55905432666717,606,0.0237,,1
30/04/2013,7870,7880,7805,7875,656,186491,XU1 Index,Future,SGX,USD,1,1,1,7875,7875,7785,109.97234500852302,607,0.0237,,1
01/05/2013,7870,7880,7805,7820,656,186491,XU1 Index,Future,SGX,USD,1,1,1,7820,7820,7770,78.92348615382886,608,0.0237,,1
02/05/2013,7830,7880,7775,7845,46005,195111,XU1 Index,Future,SGX,USD,1,1,1,7845,7845,7745,79.02162151382124,609,0.0237,,1
03/05/2013,7870,8105,7835,7970,66078,198626,XU1 Index,Future,SGX,USD,1,1,1,7970,7970,7890,79.02162151382124,610,0.0237,,1
06/05/2013,7975,8140,7950,8095,46555,197463,XU1 Index,Future,SGX,USD,1,1,1,8095,8095,8000,86.25929901566334,611,0.0237,,1
07/05/2013,8100,8160,8035,8110,44449,195575,XU1 Index,Future,SGX,USD,1,1,1,8110,8110,8015,93.36175162599307,612,0.0237,,1
08/05/2013,8110,8240,8110,8175,58103,193676,XU1 Index,Future,SGX,USD,1,1,1,8175,8175,8070,105.28730534434632,613,0.0237,,1
09/05/2013,8185,8235,8045,8095,58021,196570,XU1 Index,Future,SGX,USD,1,1,1,8095,8095,8000,109.70604662767508,614,0.0237,,1
10/05/2013,8095,8175,8060,8140,47919,195047,XU1 Index,Future,SGX,USD,1,1,1,8140,8140,8065,116.19774811360855,615,0.0237,,1
13/05/2013,8135,8150,8030,8045,39829,192979,XU1 Index,Future,SGX,USD,1,1,1,8045,8045,7930,116.10986176895983,616,0.0237,,1
14/05/2013,8060,8075,7885,7920,48247,194078,XU1 Index,Future,SGX,USD,1,1,1,7920,7920,7810,116.4162789304269,617,0.0237,,1
15/05/2013,7925,7970,7875,7925,35911,190138,XU1 Index,Future,SGX,USD,1,1,1,7925,7925,7810,116.6279697728649,618,0.0237,,1
16/05/2013,7945,8105,7875,8070,72860,194630,XU1 Index,Future,SGX,USD,1,1,1,8070,8070,7950,118.5232044791524,619,0.0237,,1
17/05/2013,8070,8270,8070,8250,38940,192515,XU1 Index,Future,SGX,USD,1,1,1,8250,8250,8135,130.36007824486376,620,0.0237,,1
20/05/2013,8245,8385,8245,8315,47293,194172,XU1 Index,Future,SGX,USD,1,1,1,8315,8315,8190,143.68020044531895,621,0.0237,,1
21/05/2013,8320,8325,8240,8260,34758,189972,XU1 Index,Future,SGX,USD,1,1,1,8260,8260,8130,150.4645583961232,622,0.0237,,1
22/05/2013,8250,8345,8235,8275,47659,184109,XU1 Index,Future,SGX,USD,1,1,1,8275,8275,8150,153.9142077046183,623,0.0237,,1
23/05/2013,8265,8330,8120,8130,91927,193194,XU1 Index,Future,SGX,USD,1,1,1,8130,8130,7995,151.5769881391644,624,0.0237,,1
24/05/2013,8120,8240,8035,8140,67654,182583,XU1 Index,Future,SGX,USD,1,1,1,8140,8140,8015,151.43755588803057,625,0.0237,,1
27/05/2013,8130,8210,8080,8135,57686,152386,XU1 Index,Future,SGX,USD,1,1,1,8135,8135,8010,151.8968948552725,626,0.0237,,1
28/05/2013,8000,8235,7980,8230,132484,137405,XU1 Index,Future,SGX,USD,1,1,1,8230,8360,8230,152.49098334002258,627,0.0237,,1
29/05/2013,8230,8275,8140,8150,65816,179943,XU1 Index,Future,SGX,USD,1,1,1,8150,8280,8150,152.2519841140788,628,0.0237,,1
30/05/2013,8150,8200,8100,8165,55905,198742,XU1 Index,Future,SGX,USD,1,1,1,8165,8295,8165,147.71820018763324,629,0.0237,,1
31/05/2013,8170,8210,8075,8100,46590,198645,XU1 Index,Future,SGX,USD,1,1,1,8100,8100,8045,141.73272969456872,630,0.0237,,1
03/06/2013,8080,8145,8040,8050,34207,199021,XU1 Index,Future,SGX,USD,1,1,1,8050,8050,7995,135.1274090133962,631,0.0237,,1
04/06/2013,8045,8095,7980,8015,50078,206259,XU1 Index,Future,SGX,USD,1,1,1,8015,8015,7970,128.52528934029675,632,0.0237,,1
05/06/2013,8005,8015,7920,7950,40753,211288,XU1 Index,Future,SGX,USD,1,1,1,7950,7950,7915,119.13822504416316,633,0.0237,,1
06/06/2013,7955,7955,7825,7845,59112,216553,XU1 Index,Future,SGX,USD,1,1,1,7845,7845,7795,119.13822504416316,634,0.0237,,1
07/06/2013,7840,7885,7715,7730,55957,219917,XU1 Index,Future,SGX,USD,1,1,1,7730,7730,7675,138.35431567780483,635,0.0237,,1
10/06/2013,7730,7775,7710,7730,1125,209198,XU1 Index,Future,SGX,USD,1,1,1,7730,7730,7675,156.19832478830773,636,0.0237,,1
11/06/2013,7730,7775,7710,7730,1125,208944,XU1 Index,Future,SGX,USD,1,1,1,7730,7730,7675,170.76470166091218,637,0.0237,,1
