Date,PX_OPEN,PX_HIGH,PX_LOW,PX_CLOSE_1D,PX_VOLUME,OPEN_INT,SECTYPE,EXCHANGE,CRNCY,TICK_SIZE,TICK_VALUE,POINT_VALUE,CONTRACT_VALUE,NAME,st_dev,no_days,Standard Cost,Instrument_Weights,Exchange rate
10/11/2022,23535,24350,23525,24305,25878,109110,Future,MIL,EUR,5,25,5,118425,ST1 Index,1086.3913398657567,4588,0.0089,,
11/11/2022,24500,24595,24285,24364,21536,109667,Future,MIL,EUR,5,25,5,121525,ST1 Index,1148.0314992783567,4589,0.0089,,
14/11/2022,24450,24610,24335,24479,16306,108378,Future,MIL,EUR,5,25,5,121820,ST1 Index,1198.1864532152927,4590,0.0089,,
15/11/2022,24480,24650,24275,24589,20089,108704,Future,MIL,EUR,5,25,5,122395,ST1 Index,1224.075674404422,4591,0.0089,,
16/11/2022,24515,24645,24390,24437,15297,107587,Future,MIL,EUR,5,25,5,122945,ST1 Index,1201.2879449443578,4592,0.0089,,
17/11/2022,24490,24560,24060,24219,17747,105112,Future,MIL,EUR,5,25,5,122185,ST1 Index,1165.8550510256282,4593,0.0089,,
18/11/2022,24325,24610,24305,24532,17835,106303,Future,MIL,EUR,5,25,5,121095,ST1 Index,1142.3047579354507,4594,0.0089,,
21/11/2022,24460,24595,24340,24389,14317,105644,Future,MIL,EUR,5,25,5,122660,ST1 Index,1117.9673146691873,4595,0.0089,,
22/11/2022,24445,24720,24370,24630,16201,106286,Future,MIL,EUR,5,25,5,121945,ST1 Index,1104.341394981023,4596,0.0089,,
23/11/2022,24685,24685,24415,24605,13997,103701,Future,MIL,EUR,5,25,5,123150,ST1 Index,1069.8229806851052,4597,0.0089,,
24/11/2022,24600,24785,24600,24757,11206,102607,Future,MIL,EUR,5,25,5,123025,ST1 Index,1041.6871283333082,4598,0.0089,,
25/11/2022,24760,24885,24670,24736,8836,99955,Future,MIL,EUR,5,25,5,123785,ST1 Index,984.8013369889848,4599,0.0089,,
28/11/2022,24640,24640,24370,24472,12985,102364,Future,MIL,EUR,5,25,5,123680,ST1 Index,933.8301951293341,4600,0.0089,,
29/11/2022,24515,24620,24275,24490,14904,102490,Future,MIL,EUR,5,25,5,122360,ST1 Index,891.4107508150336,4601,0.0089,,
30/11/2022,24595,24850,24490,24633,13972,98642,Future,MIL,EUR,5,25,5,122450,ST1 Index,850.5358271908873,4602,0.0089,,
01/12/2022,24840,24875,24610,24680,17777,99406,Future,MIL,EUR,5,25,5,123165,ST1 Index,813.6622313150698,4603,0.0089,,
02/12/2022,24630,24715,24420,24621,14550,97444,Future,MIL,EUR,5,25,5,123400,ST1 Index,758.3921764728871,4604,0.0089,,
05/12/2022,24645,24685,24445,24566,11403,96203,Future,MIL,EUR,5,25,5,123105,ST1 Index,695.93049222027,4605,0.0089,,
06/12/2022,24495,24595,24205,24315,25104,102401,Future,MIL,EUR,5,25,5,122830,ST1 Index,626.7278596025119,4606,0.0089,,
07/12/2022,24265,24445,24160,24256,15917,93923,Future,MIL,EUR,5,25,5,121575,ST1 Index,544.4162776178517,4607,0.0089,,
08/12/2022,24250,24315,24105,24222,14285,91956,Future,MIL,EUR,5,25,5,121280,ST1 Index,420.3018756425072,4608,0.0089,,
09/12/2022,24320,24345,23950,24292,17098,92380,Future,MIL,EUR,5,25,5,121110,ST1 Index,346.8387137204772,4609,0.0089,,
12/12/2022,24180,24495,24135,24334,36098,99264,Future,MIL,EUR,5,25,5,121460,ST1 Index,279.66439411422084,4610,0.0089,,
13/12/2022,24435,24910,24295,24640,49230,90536,Future,MIL,EUR,5,25,5,121670,ST1 Index,227.64993594392487,4611,0.0089,,
14/12/2022,24635,24670,24375,24586,35100,66315,Future,MIL,EUR,5,25,5,123200,ST1 Index,163.90176936793227,4612,0.0089,,
15/12/2022,24440,24480,23670,23722,27732,45633,Future,MIL,EUR,5,25,5,122930,ST1 Index,221.92564070413172,4613,0.0089,,
16/12/2022,23790,23885,23715,23703,80,25530,Future,MIL,EUR,5,25,5,118610,ST1 Index,268.62846089336847,4614,0.0089,,
19/12/2022,23745,23925,23585,23708,12142,70691,Future,MIL,EUR,5,25,5,118515,ST1 Index,305.26871769302,4615,0.0089,,
20/12/2022,23515,23805,23355,23704,14449,70887,Future,MIL,EUR,5,25,5,118540,ST1 Index,333.1284136814836,4616,0.0089,,
21/12/2022,23855,24145,23765,24105,11796,70138,Future,MIL,EUR,5,25,5,118520,ST1 Index,336.9402419845525,4617,0.0089,,
22/12/2022,24165,24210,23680,23813,14236,71606,Future,MIL,EUR,5,25,5,120525,ST1 Index,353.242607851803,4618,0.0089,,
23/12/2022,23890,23945,23770,23883,10422,69572,Future,MIL,EUR,5,25,5,119065,ST1 Index,362.3095039722395,4619,0.0089,,
27/12/2022,24050,24085,23795,23852,8033,68835,Future,MIL,EUR,5,25,5,119415,ST1 Index,373.45437026310327,4620,0.0089,,
28/12/2022,23845,23920,23690,23774,7250,70298,Future,MIL,EUR,5,25,5,119260,ST1 Index,380.44483612644694,4621,0.0089,,
29/12/2022,23715,24115,23635,24062,11359,71998,Future,MIL,EUR,5,25,5,118870,ST1 Index,375.3196948406518,4622,0.0089,,
30/12/2022,23985,24010,23640,23708,10806,71511,Future,MIL,EUR,5,25,5,120310,ST1 Index,373.4002454944045,4623,0.0089,,
02/01/2023,23750,24205,23750,24130,8827,69772,Future,MIL,EUR,5,25,5,118540,ST1 Index,356.0908919577729,4624,0.0089,,
