Date,PX_OPEN,PX_HIGH,PX_LOW,PX_CLOSE_1D,PX_VOLUME,OPEN_INT,INSTRUMENT,SECTYPE,EXCHANGE,CRNCY,TICK_SIZE,TICK_VALUE,POINT_VALUE,CONTRACT_VALUE,near,far,st_dev,no_days,no_days,Standard Cost,Instrument_Weights,Exchange rate
04/01/2012,24.9,25.5,24.15,24.2,12193,50169,UX1 Index,Future,CBF,USD,0.05,50,1000,24200,24.2,25.3,1.6373250542680737,1568,,0.0004,,1
05/01/2012,24.75,24.98,23.65,23.75,12381,50104,UX1 Index,Future,CBF,USD,0.05,50,1000,23750,23.75,24.9,1.746873397435346,1569,,0.0004,,1
06/01/2012,23.75,24.07,23,23.05,12760,50003,UX1 Index,Future,CBF,USD,0.05,50,1000,23050,23.05,24.4,1.8877963343540716,1570,,0.0004,,1
09/01/2012,23.05,23.25,22.7,22.85,9063,49195,UX1 Index,Future,CBF,USD,0.05,50,1000,22850,22.85,24.15,2.0146401663822497,1571,,0.0004,,1
10/01/2012,23.52,23.86,23.25,23.65,19809,53252,UX1 Index,Future,CBF,USD,0.05,50,1000,23650,22.35,23.65,2.056720690808727,1572,,0.0004,,1
11/01/2012,22.45,22.95,22.4,22.95,10652,42792,UX1 Index,Future,CBF,USD,0.05,50,1000,22950,22.95,24.15,2.0975223479145018,1573,,0.0004,,1
12/01/2012,23.7,24.85,23.7,23.75,16034,42496,UX1 Index,Future,CBF,USD,0.05,50,1000,23750,22.2,23.75,1.9586730201850449,1574,,0.0004,,1
13/01/2012,23.9,25.1,23.75,23.75,24897,43513,UX1 Index,Future,CBF,USD,0.05,50,1000,23750,22.2,23.75,1.8311380796290346,1575,,0.0004,,1
16/01/2012,23.9,25.1,23.75,24.1,24897,43513,UX1 Index,Future,CBF,USD,0.05,50,1000,24100,22.55,24.1,1.8001342542527756,1576,,0.0004,,1
17/01/2012,23.7,24.38,23.24,23.95,34437,59696,UX1 Index,Future,CBF,USD,0.05,50,1000,23950,22.45,23.95,1.7859334627399244,1577,,0.0004,,1
18/01/2012,23.7,24.4,23.15,23.2,19374,63659,UX1 Index,Future,CBF,USD,0.05,50,1000,23200,23.2,24.95,1.789569315040421,1578,,0.0004,,1
19/01/2012,23.1,23.3,22.5,22.55,17653,67317,UX1 Index,Future,CBF,USD,0.05,50,1000,22550,22.55,24.4,1.6765962543203266,1579,,0.0004,,1
20/01/2012,22.7,22.95,21.8,21.85,17657,68522,UX1 Index,Future,CBF,USD,0.05,50,1000,21850,21.85,23.9,1.5627886400068078,1580,,0.0004,,1
23/01/2012,21.85,22.1,21.25,21.3,20939,71106,UX1 Index,Future,CBF,USD,0.05,50,1000,21300,21.3,23.5,1.4880720188668197,1581,,0.0004,,1
24/01/2012,21.65,22.08,21.15,21.2,18079,71478,UX1 Index,Future,CBF,USD,0.05,50,1000,21200,21.2,23.25,1.5343891292631975,1582,,0.0004,,1
25/01/2012,21.4,21.8,20.45,20.6,34233,63986,UX1 Index,Future,CBF,USD,0.05,50,1000,20600,20.6,22.5,1.6813387523045729,1583,,0.0004,,1
26/01/2012,20.5,20.95,20,20.55,23083,66805,UX1 Index,Future,CBF,USD,0.05,50,1000,20550,20.55,22.55,1.791607750969631,1584,,0.0004,,1
27/01/2012,20.4,21.1,20,20.15,18614,68030,UX1 Index,Future,CBF,USD,0.05,50,1000,20150,20.15,22.2,1.9054155277352214,1585,,0.0004,,1
30/01/2012,20.75,21.2,20.55,20.7,20149,67258,UX1 Index,Future,CBF,USD,0.05,50,1000,20700,20.7,22.55,1.9321253410000412,1586,,0.0004,,1
31/01/2012,20.45,21.1,20.15,20.9,14966,62956,UX1 Index,Future,CBF,USD,0.05,50,1000,20900,20.9,22.75,1.9399591920109784,1587,,0.0004,,1
01/02/2012,20.4,20.5,19.75,19.85,18328,63406,UX1 Index,Future,CBF,USD,0.05,50,1000,19850,19.85,22.05,1.9031224343171587,1588,,0.0004,,1
02/02/2012,20,20.05,19.1,19.15,18617,63788,UX1 Index,Future,CBF,USD,0.05,50,1000,19150,19.15,21.35,1.9332550271501467,1589,,0.0004,,1
03/02/2012,19.2,19.2,17.9,17.95,27983,64118,UX1 Index,Future,CBF,USD,0.05,50,1000,17950,17.95,20.55,2.018945681950863,1590,,0.0004,,1
