Date,PX_OPEN,PX_HIGH,PX_LOW,PX_CLOSE_1D,PX_VOLUME,OPEN_INT,INSTRUMENT,SECTYPE,EXCHANGE,CRNCY,TICK_SIZE,TICK_VALUE,POINT_VALUE,CONTRACT_VALUE,near,far,st_dev,no_days,Standard Cost,Instrument_Weights,Exchange rate
21/08/2014,144.06,144.22,143.78,144.08,72108,221693,OAT1 Comdty,Future,EUX,EUR,0.01,10,1000,144080,144.08,142.4,1.3476244531277435,580,0.006,,1.1308
22/08/2014,144.14,144.4,144.01,144.16,53551,226703,OAT1 Comdty,Future,EUX,EUR,0.01,10,1000,144160,144.16,142.48,1.3697885481590952,581,0.006,,1.1308
25/08/2014,144.24,145.18,144.24,144.82,36906,226441,OAT1 Comdty,Future,EUX,EUR,0.01,10,1000,144820,144.82,143.13,1.4260787729532116,582,0.006,,1.1308
26/08/2014,145,145.32,144.95,145.07,85344,216565,OAT1 Comdty,Future,EUX,EUR,0.01,10,1000,145070,145.07,143.38,1.4673170527647839,583,0.006,,1.1308
27/08/2014,145.27,145.83,145.23,145.62,57175,214540,OAT1 Comdty,Future,EUX,EUR,0.01,10,1000,145620,145.62,143.93,1.5454096544285365,584,0.006,,1.1308
28/08/2014,145.61,145.96,145.29,145.68,72246,211930,OAT1 Comdty,Future,EUX,EUR,0.01,10,1000,145680,145.68,144,1.5825236175175577,585,0.006,,1.1308
29/08/2014,145.7,145.77,145.34,145.54,64409,204690,OAT1 Comdty,Future,EUX,EUR,0.01,10,1000,145540,145.54,143.85,1.601210479606222,586,0.006,,1.1308
01/09/2014,145.5,145.66,145.43,145.51,50122,199891,OAT1 Comdty,Future,EUX,EUR,0.01,10,1000,145510,145.51,143.8,1.6034023200683987,587,0.006,,1.1308
02/09/2014,145.47,145.48,144.74,144.98,136234,161681,OAT1 Comdty,Future,EUX,EUR,0.01,10,1000,144980,144.98,143.27,1.5845353682811893,588,0.006,,1.1308
03/09/2014,143.22,143.25,142.79,142.96,170151,162621,OAT1 Comdty,Future,EUX,EUR,0.01,10,1000,142960,144.66,142.96,1.507175946375863,589,0.006,,1.1308
04/09/2014,143.02,144.1,142.98,143.24,258433,195322,OAT1 Comdty,Future,EUX,EUR,0.01,10,1000,143240,144.93,143.24,1.4081822798678962,590,0.006,,1.1308
05/09/2014,143.31,143.9,143.31,143.76,112889,219971,OAT1 Comdty,Future,EUX,EUR,0.01,10,1000,143760,145.48,143.76,1.3166272567943873,591,0.006,,1.1308
08/09/2014,143.73,143.89,143.41,143.64,72986,204252,OAT1 Comdty,Future,EUX,EUR,0.01,10,1000,143640,145.47,143.64,1.2167281263017993,592,0.006,,1.1308
09/09/2014,143.31,143.31,142.62,142.86,96060,205418,OAT1 Comdty,Future,EUX,EUR,0.01,10,1000,142860,142.86,142.86,1.0653207654663739,593,0.006,,1.1308
