Date,PX_OPEN,PX_HIGH,PX_LOW,PX_CLOSE_1D,PX_VOLUME,OPEN_INT,INSTRUMENT,SECTYPE,EXCHANGE,CRNCY,TICK_SIZE,TICK_VALUE,POINT_VALUE,CONTRACT_VALUE,near,far,st_dev,no_days,Standard Cost,Instrument_Weights,Exchange rate
18/10/2017,107.6953,107.7031,107.6563,107.6797,332469,1715199,TU1 Comdty,Future,CBT,USD,0.004,7.813,2000,215359,107.6797,107.5078,0.11012777048650751,6208,0.004,,1
19/10/2017,107.6797,107.7656,107.6719,107.7109,364902,1700599,TU1 Comdty,Future,CBT,USD,0.004,7.813,2000,215422,107.7109,107.5547,0.10123055483559698,6209,0.004,,1
20/10/2017,107.7578,107.7734,107.6641,107.6719,330770,1717493,TU1 Comdty,Future,CBT,USD,0.004,7.813,2000,215344,107.6719,107.5,0.0961772750306273,6210,0.004,,1
23/10/2017,107.6719,107.7188,107.6563,107.7109,263929,1708842,TU1 Comdty,Future,CBT,USD,0.004,7.813,2000,215422,107.7109,107.5469,0.08906753055394878,6211,0.004,,1
24/10/2017,107.7031,107.7188,107.6641,107.6953,341307,1697991,TU1 Comdty,Future,CBT,USD,0.004,7.813,2000,215391,107.6953,107.5313,0.08271158281829016,6212,0.004,,1
25/10/2017,107.6719,107.7031,107.6328,107.6641,329677,1673091,TU1 Comdty,Future,CBT,USD,0.004,7.813,2000,215328,107.6641,107.4844,0.08292445014772618,6213,0.004,,1
26/10/2017,107.6875,107.7109,107.625,107.6406,291564,1672511,TU1 Comdty,Future,CBT,USD,0.004,7.813,2000,215281,107.6406,107.4609,0.08434910253799459,6214,0.004,,1
27/10/2017,107.6328,107.7109,107.6016,107.6797,337896,1654914,TU1 Comdty,Future,CBT,USD,0.004,7.813,2000,215359,107.6797,107.5,0.08180456526967939,6215,0.004,,1
30/10/2017,107.6875,107.7266,107.6797,107.7188,240914,1632980,TU1 Comdty,Future,CBT,USD,0.004,7.813,2000,215438,107.7188,107.5547,0.07289240083134291,6216,0.004,,1
31/10/2017,107.7188,107.7344,107.6641,107.6797,317522,1638617,TU1 Comdty,Future,CBT,USD,0.004,7.813,2000,215359,107.6797,107.5156,0.06618451404182804,6217,0.004,,1
01/11/2017,107.6719,107.6719,107.6172,107.6328,432009,1645329,TU1 Comdty,Future,CBT,USD,0.004,7.813,2000,215266,107.6328,107.4688,0.06451315756455224,6218,0.004,,1
02/11/2017,107.6484,107.6875,107.6328,107.6563,334434,1674202,TU1 Comdty,Future,CBT,USD,0.004,7.813,2000,215313,107.6563,107.5,0.05352849178033384,6219,0.004,,1
03/11/2017,107.6563,107.7031,107.6016,107.6328,288972,1696803,TU1 Comdty,Future,CBT,USD,0.004,7.813,2000,215266,107.6328,107.4688,0.04873439817630342,6220,0.004,,1
06/11/2017,107.6406,107.6641,107.625,107.6406,285676,1724027,TU1 Comdty,Future,CBT,USD,0.004,7.813,2000,215281,107.6406,107.4922,0.048879514102917694,6221,0.004,,1
07/11/2017,107.6328,107.6406,107.6172,107.6328,265254,1743218,TU1 Comdty,Future,CBT,USD,0.004,7.813,2000,215266,107.6328,107.4844,0.0503437195580074,6222,0.004,,1
08/11/2017,107.6172,107.6406,107.5938,107.6094,242937,1749783,TU1 Comdty,Future,CBT,USD,0.004,7.813,2000,215219,107.6094,107.4766,0.05304862642519362,6223,0.004,,1
09/11/2017,107.6016,107.6406,107.5859,107.6406,424312,1749579,TU1 Comdty,Future,CBT,USD,0.004,7.813,2000,215281,107.6406,107.5,0.0541730492551288,6224,0.004,,1
10/11/2017,107.625,107.6328,107.5781,107.5859,286446,1739250,TU1 Comdty,Future,CBT,USD,0.004,7.813,2000,215172,107.5859,107.4375,0.05564536607477214,6225,0.004,,1
13/11/2017,107.5938,107.6094,107.5234,107.5391,281294,1752754,TU1 Comdty,Future,CBT,USD,0.004,7.813,2000,215078,107.5391,107.3828,0.060421252598662406,6226,0.004,,1
14/11/2017,107.5313,107.5469,107.5078,107.5234,370513,1755213,TU1 Comdty,Future,CBT,USD,0.004,7.813,2000,215047,107.5234,107.375,0.06321921516110994,6227,0.004,,1
15/11/2017,107.5391,107.5938,107.5234,107.5391,535684,1731804,TU1 Comdty,Future,CBT,USD,0.004,7.813,2000,215078,107.5391,107.3828,0.06516907062083092,6228,0.004,,1
